name,target,norm_cs
ZK-93426,GABRA1|GABRA2|GABRA3|GABRA5,-0.78
estrone,ESR1|ESR2,-1.21
SB-218078,CHEK1,-0.94
amtolmetin-guacil,PTGS1|PTGS2,-1.03
temozolomide,TOP2A|MGMT,-0.97
ingenol-mebutate,PRKCD|PRKCA|PRKCB|PRKCE|PRKCG,-0.71
mepivacaine,SCN9A|SCN10A,-1.3
BADGE,PPARG,-1.02
GR-159897,TACR2|TAC1,-1.19
D-serine,GRIN1|GLRA1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|SERPINB3,-0.98
tamoxifen,ESR1|ESR2|CYP3A5|ESRRG|PLD1|PRKCD|PRKCE|PRKCQ|PRKCZ|EBP|GPER1|PRKCA|PRKCB|PRKCG|PRKCI,-0.7
VU-0413807-2,CACNA1H|CACNA1I|CACNA1G,-1.06
YM-90709,IL5RA|CSF2RB,-0.87
pergolide,DRD1|DRD2|ADRA2A|ADRA2B|ADRA2C|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|KCNA5|ADRA1A|ADRA1B|ADRA1D,-1.23
beclometasone,NR3C1,-0.86
balicatib,CTSK,-1.07
almitrine,ATP1A1,-0.76
ryuvidine,CDK4|CDK2,-1.15
mitoxantrone,TOP2A|PIM1,-0.93
rutin,AKR1C3|AKR1B1,-0.51
GW-7647,PPARA,-1.17
idelalisib,PIK3CD|PIK3CG|CCL3|CCL4|PIK3CA|PIK3CB,-0.76
paxilline,KCNMA1,-1.12
O-2050,CNR1,-1.04
alisertib,AURKA,-0.74
rebamipide,FPR1,-1.06
levcromakalim,KCNJ8|ABCC9|KCNJ5,-1.12
pioglitazone,PPARG|INS|TRPM3,-0.97
SB-205607,OPRD1,-0.92
DPI-201106,ADRB2,-0.7
diosmin,AHR,-1.16
BP-897,DRD3|ADRA1A|ADRA1D|ADRA2A|DRD1|DRD2|DRD4|HTR1A|HTR2B,-0.78
sirolimus,MTOR|FKBP1A|CCR5|FGF2,-0.66
inosine,PARP1|PNP,-0.97
LFM-A13,BTK,-1.0
Ro-3306,CDK1,-0.91
guanethidine,SLC6A2,-0.86
trap-101,OPRL1,-1.25
AZ-10417808,CASP3,-0.77
VU-0400193-3,GRM4,-0.97
ezetimibe,NPC1L1|ANPEP|SOAT1,-1.46
trequinsin,PDE4A|PDE4B|PDE4C|PDE4D|PTGIR|PDE5A,-0.71
aliskiren,REN,-1.28
AM-281,CNR1|CNR2|GPR55,-0.86
risperidone,DRD2|HTR2A|DRD3|HTR2C|ADRA1A|ADRA1B|DRD4|HRH1|HTR1A|HTR1D|CYP3A5|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD1|HTR1B|HTR1E|HTR1F|HTR6|HTR7,-1.24
withaferin-a,IKBKB|NAMPT,-1.55
NNC-05-2090,SLC6A11|SLC6A13|SLC6A12,-1.1
VT-464,CYP17A1,-0.77
betulinic-acid,GPBAR1|CASP3|CASP8|TOP1,-0.95
oxibendazole,TUBB|TUBB4B,-0.73
tadalafil,PDE5A|PDE11A,-0.71
dexamethasone,NR3C1|CYP3A4|CYP3A5|ANXA1|NOS2|NR0B1|NR3C2,-0.88
masoprocol,ALOX5|IGF1R,-0.91
clobetasol,NR3C1|PLA2G1B,-0.96
tranilast,IDO1|IFNG|IL10|IL2|IL4|SLC22A12|TGFB1|TNF|TRPV2|HPGDS|HRH1,-1.01
fluticasone,NR3C1|PGR,-0.93
GSK-1292263,GPR119|GRPR,-0.79
vemurafenib,BRAF|CYP2C19|CYP3A4|CYP3A5|RAF1,-0.83
ramipril,ACE,-0.93
BRD-K22848513,NFE2L2|PPARG|BCL2|CHUK|GSR|HMOX1|HMOX2|STAT3,-0.98
hyoscyamine,CHRM1|CHRM2|CHRM3|CHRM4,-1.05
