name,target,norm_cs
SR-27897,CCKAR,-0.57
D-64131,TUBB,-0.86
aprepitant,TACR1|CYP2C19,-0.86
orlistat,PNLIP|FASN|LIPF|DAGLA|CNR1|DAGLB,-0.73
quetiapine,DRD2|HTR1A|HTR2A|DRD1|HRH1|HTR1D|HTR1E|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD3|DRD4|DRD5|HTR1B|HTR1F|HTR2C|HTR3A|HTR6|HTR7|SLC6A2,-0.68
betulinic-acid,GPBAR1|CASP3|CASP8|TOP1,-0.93
AZD-1480,JAK1|JAK2|JAK3,-0.79
sonidegib,SMO,-0.89
ingenol-mebutate,PRKCD|PRKCA|PRKCB|PRKCE|PRKCG,-1.46
prazosin,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CDK1|KCNH2|KCNH6|KCNH7,-1.34
A-443654,AKT1|AKT2,-0.94
NNC-05-2090,SLC6A11|SLC6A13|SLC6A12,-0.91
BRD-K72166146,HTR1D|HTR1B|ADRA2A|DRD2|HTR1E|HTR1F|HTR2B|HTR7,-1.07
SC-560,PTGS1,-0.72
calcitriol,VDR|CYP3A5,-1.27
diltiazem,CACNA1C|CYP3A5|CYP3A7|CACNA1S|CACNA2D1|CACNG1|HTR3A|KCNA5,-1.2
mometasone,NR3C1,-0.95
LY-2603618,CHEK1,-0.87
Mps1-IN-1,TTK|ALK,-0.66
Y-26763,KCNJ8|ABCC9,-1.1
belinostat,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9|HDAC10|HDAC11,-1.13
LY-320135,CNR1,-0.86
benfluorex,HMGCR,-0.72
rutin,AKR1C3|AKR1B1,-1.05
oxandrolone,AR,-0.69
GSK-429286A,ROCK1,-1.08
zolmitriptan,HTR1B|HTR1D|HTR1A|HTR1F|HTR1E,-1.0
ORG-9768,SLC6A2|ADRA2A,-1.28
TTNPB,RARB|RARA|RARG,-0.93
ryanodine,RYR1,-1.42
BRD-K34685430,DRD1|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C,-1.04
ganaxolone,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6,-0.97
varespladib,PLA2G2A|PLA2G2D,-0.82
dipraglurant,GRM5,-0.81
terazosin,ADRA1D|ADRA1A|ADRA1B|KCNH2|KCNH6|KCNH7,-0.94
