name,target,norm_cs
capsaicin,TRPV1|ENOX2|CFTR,-0.96
azelaic-acid,TYR|TXNRD1|TXNRD2|AKR1D1|SRD5A2,-0.93
physostigmine,ACHE|BCHE,-1.02
HMN-214,FLT3|KDR|KIT|FLT4|PDGFRB|CSF1R|FLT1|RET|FGFR1|PDGFRA,-0.93
biperiden,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2,-0.81
pramipexole,DRD3|DRD2|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C,-0.98
benzthiazide,CA2|SLC12A3|CA1|CA12|CA4|CA9,-1.18
S-18986,GRIA1|GRIA2|GRIA3|GRIA4,-1.24
phenazone,PTGS1|PTGS2,-1.2
fluticasone-propionate,NR3C1|PGR|CYP3A5|CYP3A7|NR3C2|PLA2G4A,-0.97
digoxin,ATP1A1|ABCB1|RORC|SLCO1B3,-1.11
taladegib,DHH|IHH|SMO|PTCH1,-1.23
riluzole,SCN5A|KCND3|KCNK10|KCNK2|KCNK4|KCNN4|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN7A|SCN8A|SCN9A|SLC7A11,-0.89
propafenone,SCN5A|KCNH2|KCNK2|KCNK3|ADRB1|ADRB2|KCNA5,-0.88
TPCA-1,IKBKB,-0.83
EMD-386088,HTR6,-0.74
daminozide,KDM2A|KDM7A|PHF8,-1.23
danazol,GNRHR|ESR1|CYP2C8|TNF|AR|CCL2|GNRHR2|PGR,-1.09
olaparib,PARP1|PARP2|PARP3,-0.8
nizatidine,HRH2,-0.94
SB-525334,TGFBR1,-0.95
TPCA-1,IKBKB,-0.98
nortriptyline,KCNJ10|SLC6A2|SLC6A4|CYP2C19|PIK3CD|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HTR1A|HTR2A|HTR2C|HTR6|PGRMC1|SIGMAR1,-1.17
BMS-191011,KCNMA1,-0.76
sunitinib,PDGFRB|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|RET,-1.05
BRD-K22848513,NFE2L2|PPARG|BCL2|CHUK|GSR|HMOX1|HMOX2|STAT3,-0.87
nisoxetine,SLC6A2|SLC6A3|SLC6A4,-1.29
