name,target,norm_cs
nalbuphine,OPRK1|OPRM1|OPRD1,-0.88
molsidomine,GUCY1A3,-1.27
imiloxan,ADRA2B|ADRA2A,-1.01
taxifolin,APOB|APP|HMGCR|ADIPOR2,-0.72
parecoxib,PTGS2|LTF,-0.99
pinacidil,ABCC9|KCNJ8|ABCC8,-0.96
timolol,ADRB2|ADRB1,-0.9
ethylestrenol,AR,-0.87
balicatib,CTSK,-1.15
BRD-K47000838,ACTB,-0.84
almitrine,ATP1A1,-0.76
tariquidar,ABCB1,-0.97
O-2050,CNR1,-1.01
pinacidil,ABCC9|KCNJ8|ABCC8,-0.85
TG-003,CLK1|CLK4|DYRK1A|DYRK1B,-1.02
piperine,MAOA|MAOB|TRPV1,-1.24
alvimopan,OPRM1|OPRD1|OPRK1,-0.85
lansoprazole,ATP4A|CYP2C19|CYP3A4|CYP3A5|ATP4B,-0.99
icosapent,PTGS1|PTGS2|ACSL3|ACSL4|FADS1|FFAR1|PPARD|PPARG|SLC8A1|TRPV1,-0.93
BRD-K14965640,PTGS2|PTGS1|ASIC1|BCL2|CFTR|FABP2|PLAT|PPARG|SLC5A8|THBD,-0.73
AZD-8931,ERBB2|EGFR|ERBB3,-0.87
irsogladine,PDE4A,-0.9
inositol,CDIPT|GBA,-1.16
nicorandil,ABCC9|KCNJ8|KCNJ11,-1.01
lupanine,INS,-0.65
camicinal,MLNR,-0.93
tiapride,DRD2|DRD3,-0.93
tetrahydrouridine,CDA,-0.97
BAY-59-3074,CNR1|CNR2,-0.84
quizartinib,FLT3|CSF1R|KIT|RET|PDGFRA|PDGFRB,-1.43
cetirizine,HRH1,-0.81
dexloxiglumide,CCKAR,-1.06
bemegride,GABRA1,-0.85
CGP-7930,GABBR1,-0.74
clobetasol,NR3C1|PLA2G1B,-0.96
alverine,HTR1A,-0.88
BMY-14802,HTR1A|SIGMAR1,-1.13
mepivacaine,SCN9A|SCN10A,-1.3
clocortolone-pivalate,NR3C1|PLA2G1B,-1.06
PCI-24781,HDAC1|HDAC2|HDAC3|HDAC6|HDAC10|HDAC8,-0.93
GR-159897,TACR2|TAC1,-1.19
LY-364947,TGFBR1,-1.03
hydrocortisone-hemisuccinate,NR3C1,-1.11
cyclophosphamide,CYP2B6|CYP2C19|CYP3A5|BCL2|LGALS1|CYP2A6|CYP2C18|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A7,-0.96
pterostilbene,PTGS2|FAAH|PPARA|PTGS1,-1.07
safinamide,MAOB|SLC6A3,-0.76
birinapant,BIRC2|XIAP|BIRC3,-1.6
SKF-77434,DRD1,-0.87
ryuvidine,CDK4|CDK2,-1.15
KU-0063794,MTOR,-1.07
sobetirome,THRB|THRA,-0.91
clomethiazole,GABRA1,-1.33
AZ-628,BRAF|RAF1,-0.85
LY-16350,DRD2|DRD3,-1.34
linopirdine,KCNQ2|KCNQ3|KCNQ4|KCNQ5,-0.86
mepivacaine,SCN9A|SCN10A,-1.01
ZD-7114,ADRB3,-0.96
BRD-A49447682,NR3C1|PLA2G1B,-0.85
tranilast,IDO1|IFNG|IL10|IL2|IL4|SLC22A12|TGFB1|TNF|TRPV2|HPGDS|HRH1,-0.95
PCI-29732,BTK,-0.83
SC-12267,DHODH|IL17A|IFNG,-0.94
BRD-K03670461,EGFR,-0.81
trap-101,OPRL1,-0.73
eptifibatide,ITGA2B|ITGB3,-0.9
