name,target,norm_cs
WT-171,HDAC6,-1.21
AICA-ribonucleotide,PRKAA1,-0.73
W-13,CALM1|MYLK|PDE1A,-0.97
PF-02545920,PDE10A,-1.28
levothyroxine,THRA|THRB,-0.97
pimozide,DRD2|DRD3|HTR2A|CACNA1I|CALM1|DRD1|DRD4|DRD5|HRH1|HTR1A|KCNA10|KCNH2,-0.7
torasemide,SLC12A1|CYP2C8|SLC12A2,-1.06
tamoxifen,ESR1|ESR2|CYP3A5|ESRRG|PLD1|PRKCD|PRKCE|PRKCQ|PRKCZ|EBP|GPER1|PRKCA|PRKCB|PRKCG|PRKCI,-1.22
vanoxerine,SLC6A3|MAOA|MAOB,-0.86
clocortolone-pivalate,NR3C1|PLA2G1B,-1.01
ambrisentan,EDNRA|EDNRB|CYP2C19|CYP3A4|CYP3A5|SLCO1B3,-0.85
bendroflumethiazide,SLC12A3|CA1|CA2|CA4|KCNMA1|SLC12A1,-1.12
importazole,KPNB1,-1.82
betahistine,HRH3|HRH1,-0.69
dehydroepiandrosterone,AR|CYP3A5|ESR1|ESR2|G6PD|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|HSD17B1|NR1I2|NR1I3|PPARA|SIGMAR1|SULT2A1|SULT2B1,-0.83
erteberel,ESR2|ESR1,-0.94
barasertib,AURKB|AURKA,-0.74
carisoprodol,CYP2C19,-0.49
ursolic-acid,HSD11B1|PTPN1|ACHE|CASP3|STS|PLA2G1B|PYGM,-1.06
bisindolylmaleimide-ix,SIRT1|LRRK2|SIRT2|AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1,-1.56
RG-7388,MDM2|TP53,-1.4
tyrphostin-47,EGFR,-1.35
BRD-K87919739,ERBB2,-1.01
O6-benzylguanine,MGMT,-0.74
BYK-204165,PARP1,-0.64
triamterene,SCNN1A|SCNN1B|SCNN1G|SCNN1D,-1.07
SR-27897,CCKAR,-0.72
MK-2461,FGFR1|FGFR2|FGFR3|FLT1|FLT3|MET|FLT4|KDR|MERTK|MST1R|NTRK1|NTRK2|PDGFRB,-0.8
apixaban,F10|CYP2C19|CYP2C8|CYP2J2,-1.44
formestane,CYP19A1,-0.9
phenytoin,SCN1A|SCN2A|SCN5A|ABCB1|CYP2B6|CYP2C19|CYP3A4|SCN10A|SCN11A|SCN3A|SCN4A|SCN7A|SCN8A|SCN9A,-0.9
fluphenazine,DRD2|DRD1|CHRNA7|CALM1|DRD5|HRH1|HTR2A|HTR6|HTR7,-1.06
zolpidem,GABRA1|GABRA2|GABRA3,-0.68
ICI-89406,ADRB1|ADRB2,-1.11
basimglurant,GRM5,-0.98
YM-90709,IL5RA|CSF2RB,-1.14
mepivacaine,SCN9A|SCN10A,-1.01
telenzepine,CHRM1,-0.92
lapatinib,EGFR|ERBB2|CYP3A5,-1.14
BX-912,PDPK1|AKT2|CDK2|CHEK1|GSK3B|KDR|PDK1,-1.29
metoclopramide,DRD2|HTR4|HTR3A|CHRM1|HTR3B,-1.04
diacerein,IL1B,-0.82
YC-1,HIF1A|GUCY1A2|GUCY1A3|GUCY1B3,-1.24
AGI-5198,IDH1,-1.12
azaperone,DRD2|DRD3,-1.12
zamifenacin,CHRM3,-0.88
SU-6656,LYN,-0.99
indacaterol,ADRB2|ADRB1,-1.4
MD-920,AADACL2,-0.83
tipifarnib-P2,FNTA|FNTB,-0.79
ZD-2079,ADRB3,-1.11
linezolid,MAOA|MAOB,-0.95
cyclosporin-a,PPIA|CYP3A5|CYP3A7|PPID|ABCB11|CAMLG|FPR1|PPIF|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3,-0.86
PD-173074,FGFR1|FGFR3|FGFR2|FGFR4|FLT1|FLT4|KDR|PDGFRA|PDGFRB,-0.75
emedastine,HRH1,-1.01
BIX-02189,MAP2K5|MAPK7,-0.94
bezafibrate,PPARA|PPARD|PPARG|HSD11B1|LPL,-1.18
quinapril,ACE,-1.06
tiapride,DRD2|DRD3,-1.24
EPZ-005687,EZH2,-0.78
progesterone,PGR|CYP17A1|NR3C2|CYP2C19|CATSPER1|CATSPER2|CATSPER3|CATSPER4|ESR1|OPRK1|TRPC5,-1.04
chlortalidone,CA7|CA1|CA12|CA14|CA4|SLC12A1|SLC12A3,-0.87
clotrimazole,KCNN4|CYP51A1|CYP3A4|NR1I2|NR1I3|TRPM2|TRPM4|TRPM8,-1.09
folic-acid,FOLR2|FOLR3|SLC19A1|SLC46A1,-1.0
timolol,ADRB2|ADRB1,-0.9
roxatidine,HRH2,-0.74
N-6022,ADH5,-1.51
reichstein,AR,-0.91
ML-179,NR5A2,-1.2
methantheline,CHRM1|HRH2,-1.11
GW-405833,CNR2,-1.18
salirasib,TRPA1|MTOR,-1.2
terfenadine,HRH1|KCNH2|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|KCNH1,-0.84
esmolol,ADRB1,-0.98
fomepizole,ADH1A|ADH1B|ADH1C|AKR1A1|CAT,-0.93
iniparib,PARP1,-1.1
CAY-10415,INS,-1.15
thalidomide,TNF|CRBN|CYP1A2|CYP2B6|CYP2C19|CYP3A5|FGFR2|NFKB1|ORM1|ORM2|PTGS2,-0.88
tivantinib,MET,-0.62
KO-143,ABCG2|ABCB1|ABCC1,-0.87
quercetin,PIK3CG|AKR1B1|CYP2C8|EGFR|GAA|MAOA|PTPN1|SCN5A|SIRT1|XDH|ATP5A1|ATP5B|ATP5C1|HCK|HIBCH|PIM1|STK17B|UGT3A1,-0.78
SR-27897,CCKAR,-1.34
medetomidine,ADRA2A|ADRA2B|ADRA2C|ADRA1A|ADRA1B|ADRA1D,-1.08
BRD-K26619122,GABRA1|GABRB2|GABRG2|GLRA1|GLRB,-0.97
VE-822,ATR|ATM|MTOR|PIK3CG,-1.25
ketorolac,PTGS1|PTGS2,-0.74
BTS-54505,SLC6A2|SLC6A3|SLC6A4,-0.89
veliparib,PARP1|PARP2,-0.89
L-692585,GHSR,-0.81
formoterol,ADRB2|CYP2C19,-1.17
testosterone-propionate,AR,-0.93
dalfampridine,KCNA10|KCNA5|KCNB2|KCND1|KCNA1|KCNA2|KCNA3|KCNA4|KCNA6|KCNA7|KCNB1|KCNC1|KCNC2|KCNC3|KCND2|KCND3|KCNC4|KCNF1|KCNG1|KCNG2|KCNG3|KCNG4|KCNH1|KCNH2|KCNH3|KCNH4|KCNH5|KCNH6|KCNH7|KCNH8|KCNJ13|KCNJ5|KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5|KCNS1|KCNS2|KCNS3|KCNV1|KCNV2,-0.8
SB-203580,MAPK14|MAPK1|MAPK11|AKT1|ALOX5|CHEK1|CYP2D6|CYP3A4|GAK|GSK3B|LCK|MAPK10|MAPK12|MAPK8|MAPK9|PRKCA|RAF1|RIPK2|ROCK1|RPS6KB1|SGK1|SRC|TNF,-1.08
