stage,drug,target
early,withaferin-a,IKBKB|NAMPT
early,mepivacaine,SCN9A|SCN10A
early,dinaciclib,CDK1|CDK2|CDK9|CDK5|CCNT1
early,ceritinib,ALK|FLT3|IGF1R|INSR|TSSK1B
early,canertinib,EGFR|ERBB2|ERBB4|AKT1
early,bisindolylmaleimide-ix,SIRT1|LRRK2|SIRT2|AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1
early,daunorubicin,TOP2A|TOP2B
early,orphenadrine,CYP2B6|GRIN1|GRIN2D|GRIN3A|GRIN3B|HRH1|SCN10A|SLC6A2
early,zatebradine,HCN1|HCN2|HCN3|HCN4
early,lacosamide,SCN3A|SCN9A|SCN1A|SCN10A|CYP2C19|DPYSL2|SCN11A|SCN2A|SCN4A|SCN5A|SCN7A|SCN8A
early,masitinib,KIT|FGFR3|LYN|PDGFRB|PDGFRA
early,romidepsin,HDAC1|HDAC2|CYP2B6|CYP2C19|CYP3A5|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9
early,clozapine,DRD4|DRD2|DRD3|HTR2A|ADRA1A|ADRA1B|CHRM1|DRD1|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR2C|HTR6|HTR7|CYP2C19|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALY|CHRM2|CHRM3|CHRM4|CHRM5|DRD5|HTR1F|HTR2B|HTR3A|HTR5A
early,bisbenzimide,TOP1
early,tesaglitazar,PPARA|PPARG|INS
early,phenolphthalein,UGT1A9
early,asenapine,DRD2|HTR2A|DRD1|HRH1|HTR1A|HTR1B|ADRA1A|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD3|DRD4|HRH2|HTR1D|HTR1E|HTR2B|HTR2C|HTR5A|HTR6|HTR7
early,calcitriol,VDR|CYP3A5
early,dosulepin,SLC6A2|SLC6A4|CYP2C19|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1
early,nandrolone,NISCH|AR|CYP19A1|MAOA|MAOB
early,bisindolylmaleimide-ix,SIRT1|LRRK2|SIRT2|AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1
early,danazol,GNRHR|ESR1|CYP2C8|TNF|AR|CCL2|GNRHR2|PGR
early,digitoxigenin,ATP1A1
early,niclosamide,STAT3
early,digitoxigenin,ATP1A1
early,digoxin,ATP1A1|ABCB1|RORC|SLCO1B3
early,delanzomib,CMA1|CTSG|CYP3A4|ELANE
early,hydroxyurea,RRM1|RRM2|RRM2B
early,calmidazolium,ATP2B1|PDE1A
early,gemcitabine,RRM1|CMPK1|RRM2|TYMS
early,ryuvidine,CDK4|CDK2
early,bortezomib,PSMB5|PSMB1|PSMB2|CASP3|CYP2C19|NFKB1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB10|PSMB11|PSMB3|PSMB4|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA
early,beclomethasone-dipropionate,NR3C1|CYP3A5|ADGRG3
early,clomifene,ESR1|AR
early,calmidazolium,ATP2B1|PDE1A
early,romidepsin,HDAC1|HDAC2|CYP2B6|CYP2C19|CYP3A5|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9
early,pyrvinium-pamoate,AR
early,digitoxigenin,ATP1A1
early,altrenogest,PGR
early,meisoindigo,STAT3
early,vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8|HDAC10|HDAC11|HDAC5|HDAC9
early,tolmetin,PTGS2|PTGS1
early,strophanthidin,ATP1A1
