name,target,norm_cs
AC-55649,RARB|RARA,-1.13
AS-605240,PIK3CG,-1.0
m-chlorophenylbiguanide,HTR3A|HTR3B,-1.03
ICI-199441,OPRK1|CYP2D6|OPRD1|OPRM1|UTS2R,-1.0
clozapine,DRD4|DRD2|DRD3|HTR2A|ADRA1A|ADRA1B|CHRM1|DRD1|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR2C|HTR6|HTR7|CYP2C19|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALY|CHRM2|CHRM3|CHRM4|CHRM5|DRD5|HTR1F|HTR2B|HTR3A|HTR5A,-1.27
WAY-362450,NR1H4,-0.73
flubendazole,TUBB,-0.83
bifonazole,CYP2B6,-0.83
gefitinib,EGFR|CYP2C19,-1.09
BRD-K76064317,FLT3,-0.63
cilomilast,PDE4A|PDE4B|PDE4D|IL12A|IL12B|IL1B|PDE4C|TNF,-0.89
RS-127445,HTR2B|HTR2A|HTR2C,-0.97
mestranol,ESR1,-0.99
simeprevir,CYP2C19|CYP2C8|SLCO1B3|CYP1A2|CYP3A4,-1.12
NBI-27914,CRHR1,-1.14
GSK-1838705A,IGF1R|ALK|INSR|RPS6KA1,-1.65
valspodar,ABCB1,-1.46
albendazole,CYP1A2|CYP2J2|TUBA1A|TUBB|TUBB4B,-0.96
L-750667,DRD4,-1.26
RG-7388,MDM2|TP53,-1.4
griseofulvin,KRT12,-1.01
levothyroxine,THRA|THRB,-1.29
linagliptin,DPP4,-1.24
CC-401,MAPK8,-1.34
paxilline,KCNMA1,-0.63
Ro-10-5824,DRD4,-1.04
cyclophosphamide,CYP2B6|CYP2C19|CYP3A5|BCL2|LGALS1|CYP2A6|CYP2C18|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A7,-0.96
carbenoxolone,HSD11B1|GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|PANX1|PANX2|PANX3,-1.48
roxithromycin,ABCB1|MLNR,-0.64
quipazine,HTR2A,-1.18
fluticasone,NR3C1|PGR,-0.84
zardaverine,PDE4D|PDE3A|PDE4A|PDE4B|PDE4C,-1.03
