name,target,norm_cs
afatinib,EGFR|ERBB2|ERBB4,-1.08
afatinib,EGFR|ERBB2|ERBB4,-0.95
HMN-214,FLT3|KDR|KIT|FLT4|PDGFRB|CSF1R|FLT1|RET|FGFR1|PDGFRA,-0.86
AVL-292,BTK|EGFR|ITK|JAK3|YES1,-0.74
tozasertib,AURKA|AURKB|ABL1|AURKC|BCR|FLT3|JAK2|DDR2|LCK,-0.96
dovitinib,FGFR1|FLT1|KDR|EGFR|FGFR3|FLT3|FLT4|KIT|PDGFRB|CSF1R|FGFR2|INSR|PDGFRA,-0.8
midostaurin,FLT3|KIT|CCNB1|FLT1|KDR|PDGFRB|PRKCA|VEGFA|PRKCG,-1.19
GSK-2110183,,-0.84
barasertib-HQPA,AURKB|AURKC|AURKA,-0.83
midostaurin,FLT3|KIT|CCNB1|FLT1|KDR|PDGFRB|PRKCA|VEGFA|PRKCG,-0.9
pilaralisib,,-0.9
AZ-628,BRAF|RAF1,-0.74
midostaurin,FLT3|KIT|CCNB1|FLT1|KDR|PDGFRB|PRKCA|VEGFA|PRKCG,-1.0
CX-4945,CSNK2A1|CSNK2A2|CSNK2B|DAPK3|HIPK3,-0.67
alpelisib,PIK3CA|PIK3CB|PIK3CD|PIK3CG,-1.0
AZD-5438,CCNB1|CCNE1|CDK1|CDK2|KCNH2,-1.07
enzastaurin,PRKCB|AKT1|GSK3B|PRKCA|PRKCD|PRKCG,-1.03
AZD-5438,CCNB1|CCNE1|CDK1|CDK2|KCNH2,-0.8
CP-466722,ATM,-1.01
alpelisib,PIK3CA|PIK3CB|PIK3CD|PIK3CG,-0.79
copanlisib,PIK3CA|PIK3CD|PIK3CB|PIK3CG,-0.85
everolimus,MTOR|CYP3A5|FKBP1A,-0.76
GSK-1838705A,IGF1R|ALK|INSR|RPS6KA1,-1.01
TG-101348,JAK2|FLT3|RET|BRD4|JAK1|JAK3|TYK2,-0.98
GDC-0068,AKT1|AKT2|AKT3|CYP3A5|PRKG1,-0.76
fostamatinib,,-0.67
CP-466722,ATM,-1.35
CP-466722,ATM,-1.25
fostamatinib,,-0.83
tretinoin,RARG|RORB|RARA|RARB|ALDH1A1|ALDH1A2|GPRC5A|NR0B1|NR2C2|PPARD|RARRES1|RORC|RXRB|RXRG,-1.21
birinapant,BIRC2|XIAP|BIRC3,-0.7
CV-1808,ADORA2A|ADORA2B,-1.05
masitinib,KIT|FGFR3|LYN|PDGFRB|PDGFRA,-0.83
axitinib,KDR|FLT1|FLT4|CYP2C19|CYP3A5|KIT|PDGFRB|CSF1|PLK4,-1.19
BRD-K63750851,IMPDH1|IMPDH2,-1.03
sorafenib,RET|BRAF|FLT3|KDR|RAF1|FLT1|FLT4|KIT|DDR2|PDGFRB|FGFR1|CYP2B6|CYP2C8|CYP3A5|PDGFB|SLCO1B3,-1.13
temozolomide,TOP2A|MGMT,-0.75
AZ-628,BRAF|RAF1,-1.12
RITA,MDM2|TXNRD1|TXNRD2,-0.99
barasertib-HQPA,AURKB|AURKC|AURKA,-0.91
alvocidib,CDK2|CDK4|CDK1|CDK6|CDK7|CDK9|CDK5|CDK8|EGFR|PYGM|BCL2|BIRC5|CCNT1|MCL1|XIAP,-0.75
ponatinib,ABL1|BCR|FLT3|RET|FGFR1|FGFR2|FGFR3|FGFR4|KIT|TEK|CYP2C8|CYP3A5|FGF2|FLT1|KDR|LCK|LYN|PDGFRA|SRC,-1.21
lopinavir,,-0.81
amitriptyline,SLC6A2|SLC6A4|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HTR6|CYP2C19|CYP3A5|SCN4A|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRB1|ADRB2|ADRB3|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|HTR7|KCNA1|KCND2|KCND3|KCNQ2|KCNQ3|NTRK1|NTRK2|OPRD1|OPRK1|OPRM1|SIGMAR1,-0.76
norketamine,CYP3A4,-1.12
LFM-A12,EGFR,-0.94
EBPC,AKR1B1,-1.06
angiogenesis-inhibitor,,-0.98
cyclosporin-a,PPIA|CYP3A5|CYP3A7|PPID|ABCB11|CAMLG|FPR1|PPIF|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3,-0.88
JNJ-10191584,HRH4,-0.95
ICI-162846,,-1.03
BRD-K72541103,JAK3,-0.57
leflunomide,DHODH|CYP2C19|JAK3|STAT6|AHR|PTK2B,-0.63
proxymetacaine,SCN9A|SCN10A|SCN5A,-0.7
MDM2-inhibitor,,-1.18
RS-504393,CCR2|CCL2,-0.79
BRD-A49680073,JAK2|STAT3,-1.06
selinidin,,-0.63
ER-27319,SYK,-1.25
BRD-K12244279,,-0.82
BRD-K23922020,,-0.96
ZD-2079,ADRB3,-0.99
lawsone,,-1.17
CP-93129,HTR1B|HTR1A,-1.12
TWS-119,GSK3B|JUN|MYC,-0.96
SDZ-21009,,-0.96
LFM-A12,EGFR,-0.89
GR-32191,TBXA2R,-0.67
CDC,ALOX12,-1.13
ZD-7155,AGTR1,-1.12
cosmosiin,,-1.02
L-733060,TACR1,-1.02
decafluorobutane,,-1.31
levcromakalim,KCNJ8|ABCC9|KCNJ5,-1.23
D-64406,,-1.37
dictamnine,,-0.92
BRD-K34533029,EGFR,-0.8
oxindole-I,,-0.76
JTE-907,CNR2,-0.98
ICI-162846,,-0.85
AR-A014418,GSK3B,-0.97
GW-9508,FFAR1|FFAR4,-1.01
herniarin,,-0.95
halcinonide,NR3C1,-0.8
LY-456236,GRM1,-0.78
piretanide,SLC12A1|SLC12A2,-0.81
norketamine,CYP3A4,-0.71
SKF-77434,DRD1,-1.04
fluticasone-propionate,NR3C1|PGR|CYP3A5|CYP3A7|NR3C2|PLA2G4A,-1.33
dydrogesterone,PGR,-1.29
xaliproden,HTR1A,-0.89
AG-592,,-0.87
bucladesine,PRKACA,-0.97
benzanthrone,,-0.88
cosmosiin,,-0.92
ginsenoside,,-1.07
foliosidine,,-1.0
ER-27319,SYK,-1.14
biotin,ACACA|ACACB|HLCS|MCCC1|MCCC2|PC|PCCA|PCCB|SLC5A6,-0.78
JTE-907,CNR2,-0.89
GR-127935,HTR1B|HTR1D|HTR1A|HTR2A|HTR2C|HTR1E|HTR1F|HTR2B|HTR6,-0.92
arachidonamide,CNR1|CNR2,-0.63
REV-5901,ALOX5,-1.07
quinisocaine,,-1.35
GR-32191,TBXA2R,-0.79
SU-6656,LYN,-0.62
ryanodine,RYR1,-0.86
Ro-08-2750,NGFR|NGF,-1.03
PNU-96415E,,-0.8
levcromakalim,KCNJ8|ABCC9|KCNJ5,-0.63
BRD-K04546108,JAK3,-0.89
pheniramine,HRH1,-1.0
SKF-89976A,SLC6A1,-0.68
siguazodan,PDE3A,-1.28
PD-160170,NPY1R,-0.75
CP-94253,HTR1B,-0.91
arvanil,TRPV1|CNR1,-0.89
ZM-306416,FLT1|KDR|EGFR|FLT4,-0.68
W-13,CALM1|MYLK|PDE1A,-0.68
PP-1,SRC|HCK|RET,-1.38
ML-7,MYLK,-0.7
PP-2,SRC|LCK|ABL1|LYN|RIPK2,-1.09
L-701252,GRIN1,-1.1
atomoxetine,SLC6A2|SLC6A3|SLC6A4|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B,-1.02
J-104129,CHRM3,-0.72
NAN-190,HTR1A|ADRA1A|ADRA1B|ADRA1D|HTR1F,-1.05
DPPE,ABCB1|HRH1,-0.96
SKF-86002,ALOX5|MAPK14,-1.0
BW-723C86,HTR2B|HTR2A|HTR2C,-0.77
pyrazolanthrone,MAPK10|MAPK8|MAPK9|TTK|LRRK2|MAPK8IP1,-1.43
SC-10,PRKCA,-1.21
L-701252,GRIN1,-1.24
ST-91,,-0.78
clofibric-acid,PPARA,-0.85
buddleoflavonoloside,,-0.86
vanoxerine,SLC6A3|MAOA|MAOB,-0.92
clomipramine,SLC6A4|SLC6A2|CYP2C19|GSTP1|HTR2A|HTR2B|HTR2C|SLC6A3,-0.72
QX-314,MAPK14|TGFBR1,-1.12
GW-9662,PPARG|NCOA2|RXRA,-0.92
lamotrigine,SCN1A|SCN3A|SCN2A|SCN10A|SCN11A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,-0.85
PP-2,SRC|LCK|ABL1|LYN|RIPK2,-0.97
SKF-86002,ALOX5|MAPK14,-1.17
puromycin,RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1|SNU13,-0.85
buphenine,ADRB2,-0.8
oxybenzone,LIPE,-1.14
beclomethasone-dipropionate,NR3C1|CYP3A5|ADGRG3,-0.98
isoreserpine,SLC18A2|SLC18A1,-0.76
ZM-306416,FLT1|KDR|EGFR|FLT4,-1.36
flufenamic-acid,AKR1C3|AR|PTGS1|PTGS2|ANO1|GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|PANX1|PANX2|PANX3|PKD2L1|TRPC5|TRPM2|TRPM5,-0.76
veratridine,,-1.05
RS-102221,HTR2C|HTR2A|HTR2B,-0.81
ML-7,MYLK,-1.12
BRD-K26548821,,-0.68
BD-1047,SIGMAR1,-0.99
NNC-711,SLC6A1|SIGMAR1,-0.94
wiskostatin,WAS|WASL,-0.81
desmethylclozapine,CHRM1|DRD2|DRD3|HTR2A|HTR2C,-1.0
U-0126,MAP2K1|MAP2K2|JAK2|AKT1|CHEK1|GSK3B|LCK|MAP2K7|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1,-0.64
GR-159897,TACR2|TAC1,-1.05
BRD-K60174629,,-0.78
veratridine,,-0.97
EMD-84,AGTR1,-0.67
vitexin,,-0.88
testosterone-propionate,AR,-1.15
flunisolide,NR3C1,-0.82
hexylcaine,SCN5A|SCN10A,-0.96
MT-21,CYCS,-1.03
P-1075,KCNJ11,-0.96
SB-221284,HTR2B|HTR2C|HTR2A,-0.94
flavokavain-b,IKBKB,-0.87
BML-257,AKT1,-0.8
denbufylline,,-0.89
seneciphylline,,-0.99
tripelennamine,HRH1,-1.08
pentylenetetrazol,,-0.92
bufalin,ATP1A1,-0.81
nateglinide,ABCC8|KCNJ11|CYP3A4|INS|KCNJ10|PPARG,-1.14
cetirizine,HRH1,-1.04
LY-16350,DRD2|DRD3,-1.36
Ro-16-6941,,-1.21
dicyclohexylurea,,-0.73
propofol,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|CYP2B6|TRPV1|FAAH|SCN2A|SCN4A,-1.13
doxorubicin,TOP2A,-0.83
remacemide,GRIN1,-1.32
methoprene-acid,RXRA,-1.11
carteolol,ADRB1|ADRB2,-0.77
ivermectin,CHRNA7|GABRB3|GLRA3|P2RX7,-1.1
deoxycorticosterone-acetate,,-1.04
MT-21,CYCS,-0.73
PPT,ESR1,-1.35
RG-14620,EGFR,-1.06
CI-966,SLC6A1,-0.69
SSR-69071,ELANE,-0.8
prometon,,-0.88
flumetasone,NR3C1|PLA2G1B,-1.2
flunisolide,NR3C1,-0.91
phenformin,KCNJ8|PRKAA1,-0.71
SB-334867,HCRTR1|HCRTR2,-0.84
MT-21,CYCS,-0.75
thenoyltrifluoroacetone,CES1,-1.07
harpagoside,NOS2|PTGS2,-0.86
xanthoxyline,,-1.0
butein,ACE|CXCL8|IL6|SIRT1|SRD5A1|SRD5A2|TNF,-0.84
amitriptyline,SLC6A2|SLC6A4|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HTR6|CYP2C19|CYP3A5|SCN4A|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRB1|ADRB2|ADRB3|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|HTR7|KCNA1|KCND2|KCND3|KCNQ2|KCNQ3|NTRK1|NTRK2|OPRD1|OPRK1|OPRM1|SIGMAR1,-0.83
norcyclobenzaprine,,-0.77
enrofloxacin,,-1.12
W-12,,-0.84
remacemide,GRIN1,-0.97
vitexin,,-1.0
crotamiton,,-0.77
CGP-7930,GABBR1,-0.78
AM-580,RARA,-0.61
FR-122047,,-1.33
SB-200646,HTR2B|HTR2C,-1.01
carteolol,ADRB1|ADRB2,-0.86
thioproperazine,ADRA1A|ADRA1B|DRD1|DRD2|HTR1A|HTR2A,-0.87
methantheline,CHRM1|HRH2,-0.58
xylazine,ADRA2A|ADRA2B|ADRA2C,-0.76
Ro-16-6941,,-0.96
potassium-canrenoate,NR3C2,-1.12
NBI-27914,CRHR1,-0.71
lidoflazine,SCN1A|SCN3A|SLC29A1,-0.69
ZM-323881,KDR,-0.95
triamcinolone,NR3C1|SERPINA6,-0.62
alverine,HTR1A,-0.95
nitrendipine,CACNA1C|CACNA1D|CACNA2D1|CACNA1H|CACNA1S|CACNA2D2|CACNB2|CACNG1|KCNN4,-0.94
dexamethasone,NR3C1|CYP3A4|CYP3A5|ANXA1|NOS2|NR0B1|NR3C2,-0.77
nadolol,ADRB1|ADRB2|ADRB3,-0.63
BRD-K03670461,EGFR,-0.87
pirenperone,HTR2A|HTR7,-0.82
proadifen,NOS1,-0.57
dihydrosamidin,,-0.78
spiramide,HTR2A|HTR1A,-0.9
iopanoic-acid,,-0.7
prochlorperazine,DRD2|DRD1|DRD3|DRD4,-0.95
naproxol,PTGS1|PTGS2,-0.76
L-161982,PTGER4,-0.67
SA-792709,RARA|RARB,-0.87
PSB-06126,ENTPD3,-1.15
spiramide,HTR2A|HTR1A,-0.77
ergocryptine,,-1.08
PSB-069,ENTPD1|ENTPD2|ENTPD3,-0.79
prednisolone-acetate,NR3C1,-0.9
MRS-1334,ADORA3,-0.75
carvedilol,ADRB1|ADRB2|ADRA1A|ADRA1B|ADRA1D|ADRB3|CYP2C19|CYP2E1|RYR2|ADRA2A|ADRA2B|ADRA2C|GJA1|HIF1A|KCNH2|NDUFC2|NPPB|SELE|VCAM1|VEGFA,-0.86
trimipramine,SLC6A2|SLC6A4|SLC6A3|ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD5|HRH1|HTR1A|HTR1D|HTR2A|HTR2C|HTR3A,-1.03
praziquantel,,-0.84
amlodipine,CACNA1C|CACNA1D|CACNA1S|CACNA2D1|ABCG2|CA1|CACNA1B|CACNA1F|CACNA2D3|CACNB1|CACNB2|SMPD1,-1.0
prednisolone,NR3C1|NR3C2|SERPINA6,-1.2
ketorolac,PTGS1|PTGS2,-0.88
doxylamine,HRH1|CHRM1,-1.1
BRD-A49447682,NR3C1|PLA2G1B,-0.79
fipronil,,-1.05
thiorphan,MME,-0.96
SKF-96365,CYP3A4|TRPC1|PKD2|TRPC3|TRPC4|TRPC5|TRPV2,-1.3
meloxicam,PTGS2|PTGS1,-1.29
benzopurpurin-4b,,-1.29
BRD-K19136521,CDK1|CDK2|CDK5|CCNE1|CDK4|CDK9|LCK|LRRK1|LRRK2|CDK5R1|GSK3B,-1.42
rutin,AKR1C3|AKR1B1,-0.89
physostigmine,ACHE|BCHE,-0.84
pipamperone,DRD2|HTR2A|HRH1|HTR1A|HTR1B|HTR1D,-1.2
rhamnetin,ALOX5,-1.4
EMD-386088,HTR6,-1.09
trimetozine,,-0.85
robustic-acid,,-0.7
irbesartan,AGTR1|JUN|SLC10A1,-1.1
dephostatin,PTPN1|PTPN6,-1.15
dihydrosamidin,,-0.59
guanabenz,,-1.09
fraxetin,,-0.91
rosuvastatin,HMGCR,-0.67
colforsin,ADCY2|ADCY5,-0.81
diltiazem,CACNA1C|CYP3A5|CYP3A7|CACNA1S|CACNA2D1|CACNG1|HTR3A|KCNA5,-0.79
RK-682,,-0.74
betamethasone-acetate,NR3C1,-1.06
hypericin,,-0.96
rizatriptan,HTR1D|HTR1B|HTR1F|HTR1A|HTR1E,-0.87
alaproclate,SLC6A4,-0.99
praziquantel,,-1.23
iopanoic-acid,,-1.06
mexiletine,SCN5A|CYP2B6|CYP2E1|KCNK2|KCNK3|AHR|SCN4A,-0.67
epirubicin,TOP2A|CHD1,-0.77
benzylpenicillin,,-0.67
triflupromazine,DRD2|HTR2B|CHRNA7|CHRM1|CHRM2|DRD1,-1.21
estropipate,ESR1|ESR2,-0.98
dioxybenzone,,-1.12
pirenperone,HTR2A|HTR7,-0.74
methysergide,HTR2C|HTR1B|HTR1E|HTR1F|HTR2A|HTR2B|HTR7|HTR1A|HTR1D|HTR5A|HTR6,-0.76
immethridine,HRH3,-1.38
SA-792709,RARA|RARB,-0.95
amperozide,HTR2A|DRD2|FAAH,-0.73
robustic-acid,,-0.98
salsolinol,,-1.05
prednisolone-acetate,NR3C1,-0.76
amlodipine,CACNA1C|CACNA1D|CACNA1S|CACNA2D1|ABCG2|CA1|CACNA1B|CACNA1F|CACNA2D3|CACNB1|CACNB2|SMPD1,-0.79
prednisolone,NR3C1|NR3C2|SERPINA6,-0.75
cyclopentolate,CHRM1,-0.63
BRD-K02581333,,-1.09
immethridine,HRH3,-0.87
epicatechin,,-0.92
LY-83583,GUCY1A2,-0.91
ricinine,,-0.84
salsolinol,,-0.96
alfuzosin,ADRA1A|ADRA1D|ADRA1B|KCNH2,-0.75
tetrahydropalmatine,,-1.07
bisindolylmaleimide-ix,SIRT1|LRRK2|SIRT2|AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1,-0.89
fenbufen,PTGS1|PTGS2,-1.36
tebuthiuron,,-0.67
SA-792709,RARA|RARB,-1.05
spiramide,HTR2A|HTR1A,-0.77
fenbufen,PTGS1|PTGS2,-1.15
mebeverine,CHRM1|CHRM2|CHRM3|CHRM4,-0.95
biperiden,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2,-1.3
phentermine,SLC6A2|MAOA|MAOB|SLC6A3|SLC6A4,-0.7
pizotifen,HTR2A|HTR1A|HTR2C,-0.79
fraxetin,,-0.84
aliskiren,REN,-1.09
pregnenolone-succinate,,-0.74
MRS-1334,ADORA3,-1.14
praziquantel,,-0.95
gitoxigenin,ATP1A1,-0.93
ezetimibe,NPC1L1|ANPEP|SOAT1,-0.76
tetrahydropalmatine,,-1.08
tetramisole,,-0.82
BRD-A49447682,NR3C1|PLA2G1B,-0.84
estradiol-cypionate,ESR1,-0.97
promazine,CHRM5|DRD2|ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|DRD1|DRD3|DRD4|HRH1|HTR2A|HTR2C,-0.84
