name,target,norm_cs
erlotinib,EGFR|NR1I2,-0.9
AZ-628,BRAF|RAF1,-0.69
NVP-TAE684,ALK|INSR,-1.07
vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8|HDAC10|HDAC11|HDAC5|HDAC9,-0.97
BRD-K54606188,,-1.15
AZD-1480,JAK1|JAK2|JAK3,-0.75
dovitinib,FGFR1|FLT1|KDR|EGFR|FGFR3|FLT3|FLT4|KIT|PDGFRB|CSF1R|FGFR2|INSR|PDGFRA,-0.93
mitoxantrone,TOP2A|PIM1,-0.76
cobimetinib,,-0.8
vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8|HDAC10|HDAC11|HDAC5|HDAC9,-1.11
AZD-1480,JAK1|JAK2|JAK3,-0.76
midostaurin,FLT3|KIT|CCNB1|FLT1|KDR|PDGFRB|PRKCA|VEGFA|PRKCG,-0.67
BMS-345541,IKBKB|CHUK,-1.16
GDC-0941,PIK3CG|PIK3CA|PIK3CB|PIK3CD,-1.22
NVP-TAE684,ALK|INSR,-0.7
BMS-345541,IKBKB|CHUK,-0.66
GSK-2110183,,-0.78
alpelisib,PIK3CA|PIK3CB|PIK3CD|PIK3CG,-1.06
copanlisib,PIK3CA|PIK3CD|PIK3CB|PIK3CG,-0.63
idelalisib,PIK3CD|PIK3CG|CCL3|CCL4|PIK3CA|PIK3CB,-0.94
PRT-062607,SYK|FGR|MAP3K9,-0.73
mitoxantrone,TOP2A|PIM1,-1.22
dinaciclib,CDK1|CDK2|CDK9|CDK5|CCNT1,-0.91
PF-04691502,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG,-1.39
GDC-0068,AKT1|AKT2|AKT3|CYP3A5|PRKG1,-1.16
alpelisib,PIK3CA|PIK3CB|PIK3CD|PIK3CG,-1.18
PF-05212384,MTOR|PIK3CA|PIK3CG,-0.73
mitoxantrone,TOP2A|PIM1,-1.03
ZM-447439,AURKA|AURKB,-0.87
GDC-0068,AKT1|AKT2|AKT3|CYP3A5|PRKG1,-1.37
genistein,CFTR|ESR2|EGFR|ESR1|ESRRA|ESRRB|ESRRG|NCOA1|NCOA2|PPARG|PTK2B|TOP2A|TRPC5,-1.47
atorvastatin,HMGCR|DPP4|CYP3A5|FASLG|AHR,-1.42
cabozantinib,KDR|MET|FLT3|KIT|RET|TEK|CYP2C19,-0.86
thioridazine,DRD2|HTR2A|DRD1|HTR2C|CHRNA7|MALT1|ADRA1A|ADRA1B|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR6|HTR7|KCNH2,-0.55
trametinib,MAP2K1|MAP2K2|CYP2C8|CYP3A4,-0.89
obatoclax,BCL2|BCL2L1|MCL1,-0.73
birinapant,BIRC2|XIAP|BIRC3,-1.28
BRD-K61033289,PPARG,-1.09
ABT-751,TUBB,-0.78
digitoxin,ATP1A1,-0.82
RITA,MDM2|TXNRD1|TXNRD2,-0.67
digoxin,ATP1A1|ABCB1|RORC|SLCO1B3,-1.12
barasertib-HQPA,AURKB|AURKC|AURKA,-0.89
azathioprine,PPAT|HPRT1|IMPDH1,-1.05
KU-0063794,MTOR,-1.06
salmeterol,ADRB2,-1.26
PJ-34,EEF2|PARP1|PARP15|PARP3,-0.76
tacedinaline,HDAC1,-0.86
LY-278584,,-0.87
fluticasone,NR3C1|PGR,-0.85
limonin,,-0.73
SB-269970,HTR7,-1.12
tetramethylsilane,,-0.8
cyclopamine,SMO,-0.63
luzindole,MTNR1B|MTNR1A,-0.79
BRD-K76274772,,-1.18
LY-320135,CNR1,-0.86
ioxaglic-acid,,-1.05
AG-494,EGFR,-0.91
pseudoephedrine,,-1.07
BRL-50481,PDE7A|PDE7B,-1.13
biotin,ACACA|ACACB|HLCS|MCCC1|MCCC2|PC|PCCA|PCCB|SLC5A6,-0.86
irilin-a,,-1.08
PNU-96415E,,-0.81
hispidin,PRKCB,-1.13
BRD-K10136726,,-1.3
arachidonamide,CNR1|CNR2,-0.98
adipiodone,,-0.81
ponalrestat,AKR1B1,-1.23
GR-127935,HTR1B|HTR1D|HTR1A|HTR2A|HTR2C|HTR1E|HTR1F|HTR2B|HTR6,-0.9
FIT,OPRD1,-0.88
danazol,GNRHR|ESR1|CYP2C8|TNF|AR|CCL2|GNRHR2|PGR,-1.18
clobenpropit,HRH3|HRH4|HRH1|HRH2,-0.58
BRD-K72541103,JAK3,-1.32
cabergoline,DRD2|ADRA1A|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|PRL|ADRA1B|ADRA1D|ADRB1|ADRB2|HTR7,-0.83
mevastatin,HMGCR,-1.09
Y-134,ESR1|ESR2,-0.87
azacyclonol,HRH1,-0.7
ginsenoside,,-0.76
BRD-K10136726,,-0.74
diazepam,GABRA1|GABRA2|GABRA3|GABRA5|GABRA4|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|CYP2C19|ADRA1A|GABRR1|GABRR2|GABRR3|TSPO,-1.06
digoxin,ATP1A1|ABCB1|RORC|SLCO1B3,-1.56
fluticasone,NR3C1|PGR,-1.41
CP-55940,CNR1|CNR2|GPR55,-1.07
SU-6656,LYN,-1.01
Ro-08-2750,NGFR|NGF,-1.12
BRD-K28761384,DRD2|DRD1|ADRA1A|ADRA2A|DRD5|HRH1|HTR2A,-0.93
GR-127935,HTR1B|HTR1D|HTR1A|HTR2A|HTR2C|HTR1E|HTR1F|HTR2B|HTR6,-0.9
BD-1008,,-0.69
oxindole-I,,-1.17
L-689560,GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D,-0.94
AR-A014418,GSK3B,-0.8
BML-190,CNR2,-0.77
ivachtin,CASP3,-0.73
danazol,GNRHR|ESR1|CYP2C8|TNF|AR|CCL2|GNRHR2|PGR,-0.92
L-655240,PTGES,-1.03
CDC,ALOX12,-0.8
GW-9508,FFAR1|FFAR4,-0.64
BRD-K09668667,,-0.69
cyclosporin-a,PPIA|CYP3A5|CYP3A7|PPID|ABCB11|CAMLG|FPR1|PPIF|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3,-0.86
SB-269970,HTR7,-0.83
herniarin,,-0.89
cosmosiin,,-0.81
SKF-81297,DRD1|DRD5,-0.6
ryanodine,RYR1,-0.89
CGS-21680,ADORA2A|ADORA1|ADORA2B|ADORA3,-0.64
RG-13022,,-0.71
LY-303511,CSNK2A1|CSNK2A2|CSNK2B|MTOR|BRD2|BRD3|BRD4,-0.98
maprotiline,SLC6A2|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HTR2A|HTR2C|HTR7,-0.73
rotenonic-acid,,-0.97
MDL-28170,CTSB|CAPN1,-0.87
BRD-K49657628,EGFR,-0.97
RHC-80267,LIPC|LIPE|LIPG|DAGLA|DAGLB,-0.78
embelin,XIAP,-1.2
AM-92016,GRIN2B|GRIN1,-0.69
SQ-22536,ADCY5|ADCY1,-1.21
cinobufagin,ATP1A1,-1.54
JTE-013,S1PR2|P2RY10,-1.14
remoxipride,DRD2|DRD3|DRD4|HTR2A|SIGMAR1,-1.15
QX-314,MAPK14|TGFBR1,-0.87
Ro-10-5824,DRD4,-0.64
desoxycortone,NR3C2|NR3C1,-1.21
SKF-89976A,SLC6A1,-0.89
siguazodan,PDE3A,-0.88
SU-4312,KDR|PDGFRB,-0.62
T-0901317,NR1H3|NR1H2|ABCA1|RORA|RORC|NCOA1|NCOA2|NR1I2|RXRB,-0.72
D-64131,TUBB,-0.65
doconexent,PPARA|FFAR1|PTGS1|PTGS2,-0.63
PCO-400,KCNJ8|ABCC9,-0.78
SB-431542,TGFBR1|ACVR1C|ACVR1B,-0.93
PD-198306,MAPK1|MAPK3|MAP2K1|MAP2K2,-0.91
metoprolol,ADRB1|ADRB2,-1.09
aminopurvalanol-a,CDK2|CDK1|CDK5|CDK6,-0.68
tracazolate,GABRA1,-0.78
kenpaullone,GSK3B|CDK1|CDK5|CDK2|LCK|CCNB1,-0.86
BW-723C86,HTR2B|HTR2A|HTR2C,-0.82
PD-160170,NPY1R,-1.25
BRD-K16233984,,-0.65
LY-303511,CSNK2A1|CSNK2A2|CSNK2B|MTOR|BRD2|BRD3|BRD4,-0.98
morphothebaine,,-0.94
calycanthine,,-0.78
GW-0742,PPARD|INS,-1.1
auraptene,MAOB,-0.69
SR-142948,,-1.13
PP-2,SRC|LCK|ABL1|LYN|RIPK2,-1.28
ZM-241385,ADORA2A|ADORA2B|ADORA1|ADORA3,-0.87
BAY-36-7620,GRM1,-0.73
BRD-K60174629,,-0.87
W-7,,-0.71
cyclopiazonic-acid,ATP2A1,-0.73
orphenadrine,CYP2B6|GRIN1|GRIN2D|GRIN3A|GRIN3B|HRH1|SCN10A|SLC6A2,-1.05
mocimycin,,-0.93
oxymetazoline,ADRA1A|ADRA2A|ADRA1B|ADRA1D|ADRA2B|ADRA2C|CYP2C19|HTR1B|HTR1D|HTR2C,-0.8
doconexent,PPARA|FFAR1|PTGS1|PTGS2,-0.7
ZM-306416,FLT1|KDR|EGFR|FLT4,-0.74
BP-554,HTR1A,-0.86
aminopurvalanol-a,CDK2|CDK1|CDK5|CDK6,-0.82
PCO-400,KCNJ8|ABCC9,-1.03
