name,target,norm_cs
gentamicin,,-0.41
AR-A014418,GSK3B,-0.42
KU-0060648,PIK3CA|PIK3CB|PIK3CD|PRKDC,-0.42
SEW-2871,S1PR1,-0.43
levothyroxine,THRA|THRB,-0.43
H-7,,-0.43
diclofenac,PTGS1|PTGS2|CYP2C8|AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|SCN4A,-0.44
levomepromazine,DRD2|DRD3|DRD4|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD5|HRH1|HTR2A|HTR2C,-0.46
PF-04217903,MET,-0.47
estriol,ESR1|ESR2,-0.47
sertaconazole,,-0.48
gelsemine,GLRA3,-0.49
L-689560,GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D,-0.49
racecadotril,MME,-0.49
PD-168393,EGFR|ERBB2|SRC,-0.49
tenidap,ALOX5|KCNJ4|PTGS1,-0.49
cilostamide,PDE3A|PDE3B,-0.49
orphenadrine,CYP2B6|GRIN1|GRIN2D|GRIN3A|GRIN3B|HRH1|SCN10A|SLC6A2,-0.49
lisofylline,,-0.5
necrostatin-1,IDO1|KRR1|RIPK1,-0.5
vemurafenib,BRAF|CYP2C19|CYP3A4|CYP3A5|RAF1,-0.5
VER-155008,HSPA1A,-0.5
bongkrek-acid,SLC25A4,-0.5
PKCbeta-inhibitor,,-0.5
oxybenzone,LIPE,-0.5
BRD-A84389633,,-0.51
razoxane,TOP2A|TOP2B,-0.51
dexamethasone,NR3C1|CYP3A4|CYP3A5|ANXA1|NOS2|NR0B1|NR3C2,-0.51
bupropion,SLC6A2|SLC6A3|CYP2B6|CHRNA3,-0.51
hydrocortisone,NR3C1,-0.51
DCPIB,SLC1A2,-0.51
teniposide,TOP2A|CYP3A5|TOP2B,-0.51
prazosin,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CDK1|KCNH2|KCNH6|KCNH7,-0.51
hydroxychloroquine,TLR7|TLR9,-0.51
febuxostat,XDH,-0.51
racephedrine,,-0.51
thioguanine,IMPDH1|IMPDH2,-0.52
safinamide,MAOB|SLC6A3,-0.52
