name,target,norm_cs
BI-D1870,RPS6KA1|RPS6KA2|RPS6KA3|RPS6KA6,-1.22
BRD-K54606188,,-1.51
AZD-1480,JAK1|JAK2|JAK3,-0.82
BMS-345541,IKBKB|CHUK,-1.14
IPI-145,PIK3CD|PIK3CG|PIK3CA|PIK3CB,-1.09
BRD-K54606188,,-1.52
vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8|HDAC10|HDAC11|HDAC5|HDAC9,-1.04
GSK-461364,PLK1,-1.32
afatinib,EGFR|ERBB2|ERBB4,-1.14
TAK-715,MAPK14|TNF,-0.9
GS-9973,SYK,-0.74
WZ-4002,EGFR|ERBB2,-0.7
BI-D1870,RPS6KA1|RPS6KA2|RPS6KA3|RPS6KA6,-1.38
BRD-K54606188,,-0.69
linifanib,CSF1R|KDR|PDGFRB|FLT1|FLT3|FLT4|PDGFRA|CSF1|KIT|RET|TEK,-0.62
TG-101348,JAK2|FLT3|RET|BRD4|JAK1|JAK3|TYK2,-1.0
fostamatinib,,-0.89
GSK-1838705A,IGF1R|ALK|INSR|RPS6KA1,-1.19
XMD-1150,LRRK2,-1.5
PF-04691502,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG,-0.82
hydroxychloroquine,TLR7|TLR9,-0.5
XMD-1150,LRRK2,-0.8
alpelisib,PIK3CA|PIK3CB|PIK3CD|PIK3CG,-0.64
XMD-1150,LRRK2,-0.76
TG-101348,JAK2|FLT3|RET|BRD4|JAK1|JAK3|TYK2,-0.95
MLN-4924,NAE1|UBA3,-1.32
TG-101348,JAK2|FLT3|RET|BRD4|JAK1|JAK3|TYK2,-0.63
KIN-001-220,,-0.78
daunorubicin,TOP2A|TOP2B,-0.98
TW-37,BCL2|BCL2L1|MCL1,-1.08
BRD-K20986251,NR1I2|VDR|MDM2|MDM4|PTPN1|GPBAR1|NR1H4,-1.2
cabozantinib,KDR|MET|FLT3|KIT|RET|TEK|CYP2C19,-0.85
procaterol,ADRB2,-0.9
digoxin,ATP1A1|ABCB1|RORC|SLCO1B3,-1.23
calcipotriol,VDR,-1.22
ABT-751,TUBB,-0.89
lapatinib,EGFR|ERBB2|CYP3A5,-0.7
sorafenib,RET|BRAF|FLT3|KDR|RAF1|FLT1|FLT4|KIT|DDR2|PDGFRB|FGFR1|CYP2B6|CYP2C8|CYP3A5|PDGFB|SLCO1B3,-0.8
ceritinib,ALK|FLT3|IGF1R|INSR|TSSK1B,-0.83
vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8|HDAC10|HDAC11|HDAC5|HDAC9,-1.39
azathioprine,PPAT|HPRT1|IMPDH1,-1.15
PJ-34,EEF2|PARP1|PARP15|PARP3,-1.11
norketamine,CYP3A4,-0.8
SDZ-21009,,-0.72
CDC,ALOX12,-0.96
LY-165163,HTR1A|HTR1D,-0.81
SB-269970,HTR7,-1.05
ecopipam,DRD1|DRD5,-0.69
DAPT-GSI-IX,,-1.29
hispidin,PRKCB,-0.81
levcromakalim,KCNJ8|ABCC9|KCNJ5,-1.13
CP-55940,CNR1|CNR2|GPR55,-1.04
KU-14R,,-1.13
DAPT-GSI-IX,,-0.92
GR-32191,TBXA2R,-0.85
BU-239,,-0.8
LY-165163,HTR1A|HTR1D,-0.91
SB-269970,HTR7,-0.82
OBAA,PLA2G1B,-0.81
PNU-120596,CHRNA7,-0.52
MRS-1754,ADORA2B,-0.55
RG-13022,,-1.0
FK-888,TACR1|TACR2,-0.9
RS-504393,CCR2|CCL2,-0.76
ginsenoside,,-0.75
EBPC,AKR1B1,-1.07
Ro-08-2750,NGFR|NGF,-0.78
aminogenistein,LCK,-1.04
fluticasone-propionate,NR3C1|PGR|CYP3A5|CYP3A7|NR3C2|PLA2G4A,-1.15
RS-504393,CCR2|CCL2,-0.75
dichlorobenzamil,,-0.85
KN-62,P2RX7|CAMK2A|AKT1|CHEK1|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SGK1,-0.89
DY-131,ESRRG|ESRRB|ESR2,-1.22
lobelanidine,OPRM1|SLC18A2,-0.8
L-733060,TACR1,-0.87
melperone,DRD2|HTR1A|HTR2A,-0.73
ivachtin,CASP3,-1.11
FK-888,TACR1|TACR2,-1.33
spironolactone,NR3C2|KCNA5|KCND3|SCNN1A|AR|CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CYP11B2|NR3C1|PGR|SHBG,-1.29
BRD-K09635134,,-0.95
GR-127935,HTR1B|HTR1D|HTR1A|HTR2A|HTR2C|HTR1E|HTR1F|HTR2B|HTR6,-0.89
BRD-K23922020,,-1.09
pseudoephedrine,,-0.55
BE-2254,ADRA1A,-0.83
DMP-543,,-0.73
BRD-K07888196,,-1.12
MDM2-inhibitor,,-0.83
ibudilast,PDE4A|PDE4B|PDE4C|MIF|PDE10A|PDE4D|TLR4|PDE3A|CYSLTR1|PDE11A|IL1B|IL6|PDE5A,-1.22
SKF-81297,DRD1|DRD5,-1.29
