name,target,norm_cs
lapatinib,EGFR|ERBB2|CYP3A5,-0.79
NVP-TAE684,ALK|INSR,-0.84
GDC-0941,PIK3CG|PIK3CA|PIK3CB|PIK3CD,-0.77
GDC-0941,PIK3CG|PIK3CA|PIK3CB|PIK3CD,-1.03
Mps1-IN-1,TTK|ALK,-0.96
IPI-145,PIK3CD|PIK3CG|PIK3CA|PIK3CB,-1.47
dovitinib,FGFR1|FLT1|KDR|EGFR|FGFR3|FLT3|FLT4|KIT|PDGFRB|CSF1R|FGFR2|INSR|PDGFRA,-0.92
IPI-145,PIK3CD|PIK3CG|PIK3CA|PIK3CB,-0.75
Mps1-IN-1,TTK|ALK,-0.99
GS-9973,SYK,-0.92
sotrastaurin,PRKCA|PRKCB|PRKCQ|PRKCD|PRKCE|PRKCH,-0.76
AZD-1480,JAK1|JAK2|JAK3,-1.13
tozasertib,AURKA|AURKB|ABL1|AURKC|BCR|FLT3|JAK2|DDR2|LCK,-1.01
midostaurin,FLT3|KIT|CCNB1|FLT1|KDR|PDGFRB|PRKCA|VEGFA|PRKCG,-0.89
PF-04691502,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG,-0.94
linifanib,CSF1R|KDR|PDGFRB|FLT1|FLT3|FLT4|PDGFRA|CSF1|KIT|RET|TEK,-0.66
fostamatinib,,-0.83
linifanib,CSF1R|KDR|PDGFRB|FLT1|FLT3|FLT4|PDGFRA|CSF1|KIT|RET|TEK,-1.24
copanlisib,PIK3CA|PIK3CD|PIK3CB|PIK3CG,-0.93
AZD-5438,CCNB1|CCNE1|CDK1|CDK2|KCNH2,-1.21
GDC-0068,AKT1|AKT2|AKT3|CYP3A5|PRKG1,-0.61
PRT-062607,SYK|FGR|MAP3K9,-0.84
PRT-062607,SYK|FGR|MAP3K9,-0.85
everolimus,MTOR|CYP3A5|FKBP1A,-0.64
selumetinib,MAP2K1|MAP2K2,-1.02
BRD-K08177763,MTOR|PTEN,-0.92
MRE-269,PTGIR,-0.74
alpha-estradiol,,-0.81
ponatinib,ABL1|BCR|FLT3|RET|FGFR1|FGFR2|FGFR3|FGFR4|KIT|TEK|CYP2C8|CYP3A5|FGF2|FLT1|KDR|LCK|LYN|PDGFRA|SRC,-0.88
axitinib,KDR|FLT1|FLT4|CYP2C19|CYP3A5|KIT|PDGFRB|CSF1|PLK4,-0.97
azathioprine,PPAT|HPRT1|IMPDH1,-1.03
R-547,CDK2|CDK1|CDK4|CCND1|CCNE1|CDK7,-1.01
temozolomide,TOP2A|MGMT,-0.7
equilin,HSD17B1,-0.79
alectinib,ALK|MET,-0.69
trametinib,MAP2K1|MAP2K2|CYP2C8|CYP3A4,-1.03
tyrphostin,ERBB2,-1.06
FIT,OPRD1,-0.9
BRD-K72541103,JAK3,-0.91
naftifine,SQLE,-1.05
L-152804,NPY5R,-0.78
vinpocetine,PDE1A|SCN10A|PDE1C,-1.06
SDZ-21009,,-0.9
delcorine,,-0.77
L-733060,TACR1,-0.85
H-89,PRKACA|KCNA2|KCNA3|KCNA5|KCNAB2|KCNC1|KCNC2|KCNC3|KCNE1|KCNE2|KCNE3|KCNE4|KCNH1|KCNH2|KCNQ1|KCNQ2|KCNQ3|KCNQ5|KCNS3|GSG2|PKIA,-1.05
lysergol,,-0.7
SB-225002,CXCR2,-1.08
austricine,,-0.66
proxymetacaine,SCN9A|SCN10A|SCN5A,-0.71
herniarin,,-0.57
SU-6656,LYN,-0.87
reboxetine,SLC6A2,-0.69
Ro-04-5595,GRIN2B,-0.81
ER-27319,SYK,-1.14
JNJ-10191584,HRH4,-0.77
PI-828,,-0.8
TWS-119,GSK3B|JUN|MYC,-0.76
ML-3163,MAPK14,-1.07
benzanthrone,,-0.79
GW-9508,FFAR1|FFAR4,-0.89
nomilin,,-1.14
dpn,ESR2,-0.95
foliosidine,,-0.65
SKF-77434,DRD1,-0.75
