name,target,norm_cs
afatinib,EGFR|ERBB2|ERBB4,-0.57
GSK-2110183,,-1.06
BRD-K54606188,,-1.36
AVL-292,BTK|EGFR|ITK|JAK3|YES1,-0.92
GSK-461364,PLK1,-1.5
TAK-715,MAPK14|TNF,-0.96
BI-D1870,RPS6KA1|RPS6KA2|RPS6KA3|RPS6KA6,-0.64
afatinib,EGFR|ERBB2|ERBB4,-0.99
BI-D1870,RPS6KA1|RPS6KA2|RPS6KA3|RPS6KA6,-0.94
vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8|HDAC10|HDAC11|HDAC5|HDAC9,-1.17
afatinib,EGFR|ERBB2|ERBB4,-1.03
CX-4945,CSNK2A1|CSNK2A2|CSNK2B|DAPK3|HIPK3,-0.69
NVP-TAE684,ALK|INSR,-0.72
GSK-2110183,,-0.74
GSK-2110183,,-1.04
IPI-145,PIK3CD|PIK3CG|PIK3CA|PIK3CB,-0.64
GSK-2110183,,-0.89
fostamatinib,,-0.84
KIN-001-220,,-0.9
GDC-0068,AKT1|AKT2|AKT3|CYP3A5|PRKG1,-0.87
crizotinib,ALK|MET|CYP2B6|CYP3A5|MST1R|ROS1,-1.08
XMD-1150,LRRK2,-1.4
PF-04691502,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG,-0.81
PF-05212384,MTOR|PIK3CA|PIK3CG,-0.84
GSK-1838705A,IGF1R|ALK|INSR|RPS6KA1,-1.14
fostamatinib,,-0.76
hydroxychloroquine,TLR7|TLR9,-0.86
BRD-K08177763,MTOR|PTEN,-0.6
linifanib,CSF1R|KDR|PDGFRB|FLT1|FLT3|FLT4|PDGFRA|CSF1|KIT|RET|TEK,-1.04
NVP-BEZ235,,-0.92
canertinib,EGFR|ERBB2|ERBB4|AKT1,-1.11
MLN-4924,NAE1|UBA3,-1.37
GW-843682X,,-0.83
TG-101348,JAK2|FLT3|RET|BRD4|JAK1|JAK3|TYK2,-0.74
GW-843682X,,-0.89
carbacyclin,PTGIR|PPARD,-0.87
securinine,GABRA1,-1.08
MRE-269,PTGIR,-1.14
securinine,GABRA1,-1.32
valproic-acid,HDAC1|SCN1A|SCN3A|ABAT|ALDH5A1|ACADSB|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1B|SCN2A|SCN2B|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A,-0.91
emetine,RPS2,-1.12
ibrutinib,BTK|BLK|BMX,-1.02
GDC-0199,BCL2,-0.64
anguidine,SLC5A1,-1.41
anguidine,SLC5A1,-1.33
anguidine,SLC5A1,-1.36
azathioprine,PPAT|HPRT1|IMPDH1,-1.2
ABT-751,TUBB,-0.76
PJ-34,EEF2|PARP1|PARP15|PARP3,-0.99
L-368899,OXTR|OXT|AVPR1A|AVPR2,-1.05
BRD-K09635134,,-1.14
DMAB-anabaseine,CHRNA7,-0.98
BRD-K34533029,EGFR,-0.75
BRD-K76274772,,-1.06
AG-494,EGFR,-0.69
Ro-04-5595,GRIN2B,-0.96
CGP-55845,GABBR1|GABBR2|KCTD12|KCTD16|KCTD8,-0.97
deltaline,CHRNA7,-0.86
ZK-164015,ESR1|ESR2,-0.89
ryuvidine,CDK4|CDK2,-0.9
hispidin,PRKCB,-0.92
BRD-K23922020,,-0.9
arachidonamide,CNR1|CNR2,-0.92
OBAA,PLA2G1B,-0.61
BRD-K74305673,,-1.03
CP-55940,CNR1|CNR2|GPR55,-0.75
SB-269970,HTR7,-0.77
fraxidin,CA12,-0.87
pyrrolidine-dithiocarbamate,HSD11B1|RELA,-1.09
BRD-K10136726,,-0.79
etifenin,,-0.55
PI-828,,-0.72
fluticasone,NR3C1|PGR,-1.21
cyclopamine,SMO,-1.16
dichlorobenzamil,,-0.88
piperacetazine,,-0.81
AG-592,,-1.26
mammea-a,,-1.34
BRD-A49680073,JAK2|STAT3,-1.55
z-leu3-VS,,-1.33
peucedanin,,-0.82
sarmentogenin,,-1.17
BRD-K92073408,PGR,-1.11
AG-879,KDR|ERBB2|NTRK1,-1.47
lylamine,CNR1,-0.65
z-leu3-VS,,-0.78
ganglioside,,-0.63
saclofen,GABBR1|GABBR2|KCTD12|KCTD16|KCTD8,-0.73
morphothebaine,,-0.61
NNC-711,SLC6A1|SIGMAR1,-0.95
STO-609,CAMKK1|CAMKK2,-1.07
SB-431542,TGFBR1|ACVR1C|ACVR1B,-0.96
RS-16566,,-0.98
pargyline,MAOB|MAOA,-0.93
procaterol,ADRB2,-0.92
puromycin,RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1|SNU13,-0.88
amthamine,HRH2,-0.92
Ro-10-5824,DRD4,-0.78
SKF-89976A,SLC6A1,-0.72
PCI-24781,HDAC1|HDAC2|HDAC3|HDAC6|HDAC10|HDAC8,-0.99
m-chlorophenylbiguanide,HTR3A|HTR3B,-0.64
W-13,CALM1|MYLK|PDE1A,-0.93
fenbendazole,CYP2C19|CYP2D6|CYP2J2|CYP3A4|TUBB,-0.58
medrysone,NR3C1,-0.91
BRD-K60174629,,-0.72
PD-98059,MAP2K1|MAP2K2|MAPK3|AKT1|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1,-0.69
indolophenanthridine,,-0.81
SKF-86002,ALOX5|MAPK14,-0.96
parthenolide,,-1.24
mocimycin,,-0.96
cinobufagin,ATP1A1,-1.53
midostaurin,FLT3|KIT|CCNB1|FLT1|KDR|PDGFRB|PRKCA|VEGFA|PRKCG,-0.99
riluzole,SCN5A|KCND3|KCNK10|KCNK2|KCNK4|KCNN4|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN7A|SCN8A|SCN9A|SLC7A11,-0.77
AM-251,CNR1|GPR18|GPR55,-0.65
cyclopiazonic-acid,ATP2A1,-0.68
L-741626,DRD2,-0.63
lysylphenylalanyl-tyrosine,,-1.05
ML-7,MYLK,-1.15
beclomethasone-dipropionate,NR3C1|CYP3A5|ADGRG3,-0.59
lavendustin-a,,-0.58
rosiglitazone,PPARG|CYP2C8|INS|ACSL4|FFAR1|TRPC5|TRPM3,-1.12
PCI-24781,HDAC1|HDAC2|HDAC3|HDAC6|HDAC10|HDAC8,-1.48
LY-303511,CSNK2A1|CSNK2A2|CSNK2B|MTOR|BRD2|BRD3|BRD4,-1.21
UCL-2077,,-0.63
clomipramine,SLC6A4|SLC6A2|CYP2C19|GSTP1|HTR2A|HTR2B|HTR2C|SLC6A3,-0.95
loperamide,OPRM1|OPRD1|CYP2B6|CYP2C8|NPR2|CACNA1A|CALM1|OPRK1|POMC,-1.38
MG-132,PSMB1,-1.0
GW-0742,PPARD|INS,-0.88
EMD-84,AGTR1,-1.08
fananserin,HTR2A|DRD4,-0.62
tiotidine,HRH2,-1.22
NSC-3852,HDAC1,-1.31
fillalbin,,-1.03
reserpic-acid,,-0.67
flumetasone,,-0.95
xylazine,ADRA2A|ADRA2B|ADRA2C,-0.67
tubaic-acid,,-0.93
methylnorlichexanthone,AURKB|PIM1,-1.21
SCH-442416,ADORA1|ADORA2A,-0.92
potassium-canrenoate,NR3C2,-1.21
CI-966,SLC6A1,-0.84
solanine,,-0.76
econazole,CYP51A1|NPY1R|NPY2R|TRPM2|TRPV5,-0.87
H-8,,-1.0
estradiol,,-0.9
vincamine,CHRM1|CHRM2|CHRM3|CHRM4,-1.26
cefixime,,-1.27
BRD-K72783841,EGFR,-0.93
tubaic-acid,,-1.0
hydrocortisone-valerate,NR3C1,-0.74
BRD-K17415526,EGFR,-0.54
devazepide,CCKAR,-1.46
malonoben,EGFR,-1.19
SC-560,PTGS1,-0.81
NSC-3852,HDAC1,-1.27
carbacyclin,PTGIR|PPARD,-1.08
apafant,PTAFR,-0.75
nonoxynol-9,,-0.92
nifurtimox,,-1.13
carprofen,PTGS2|PTGS1,-0.92
TER-14687,PRKCQ,-1.06
BRD-K14965640,PTGS2|PTGS1|ASIC1|BCL2|CFTR|FABP2|PLAT|PPARG|SLC5A8|THBD,-1.18
CCCP,,-1.08
meloxicam,PTGS2|PTGS1,-0.85
