Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
RERE,26793,14.8748721,14.86518094,474.7726345,0,0,1063.088751
LOC105374121,27617,14.95497936,14.97481888,414.1756925,0,0,1021.119797
CIDEA,27812,14.70487628,14.7256903,397.0688022,0,0,1007.992665
SLC17A3,10257,14.93859471,14.92948156,385.1718543,0,0,998.48386
ATP6V1C2,4610,14.84775064,14.82079752,383.7337573,0,0,997.3122939
ZNF768,26798,14.85108207,14.84687554,381.5980382,0,0,995.5633594
F3,20932,14.77613906,14.7472678,377.9474172,0,0,992.5485533
HTR5BP,4729,14.80730034,14.91159744,373.6546373,0,0,988.961856
LINC00999,11036,14.69573417,14.69578593,359.3451586,0,0,976.6688671
GAK,11505,13.63721682,13.62838247,358.4884816,0,0,975.9158932
COMMD4,22616,14.81305144,14.84581595,354.0078364,0,0,971.9452161
LIN52,26796,14.95703887,14.95604611,340.0286485,0,0,959.194688
LOC102724135,24228,6.402587768,6.425081268,338.3945305,0,0,957.6670228
PCOTH,843,14.81683531,14.8534974,338.2657628,0,0,957.546303
FXN,26783,14.75315531,14.73898283,335.0654146,0,0,954.529843
CD164,6593,6.522988406,6.544995287,334.1375939,0,0,953.6494873
MOB3A,23843,6.511754644,6.491970256,333.8030219,0,0,953.3313809
OR1J2,27804,6.434520901,6.425094105,330.3601299,0,0,950.0377254
GNG5,14301,6.603484479,6.584738893,329.9586849,0,0,949.6512649
EXTL3,14599,14.60117315,14.57763058,328.8635753,0,0,948.594441
CNPY3,23147,6.440450676,6.443562215,325.7738504,0,0,945.5921104
FAM174C,9423,6.507268391,6.528117995,325.6118392,0,0,945.4338343
LOC154449,9179,6.620185124,6.651068428,325.1841808,0,0,945.0156268
GAS2L2,1267,6.619971633,6.650918781,324.5203104,0,0,944.3652504
GATD3A,2291,6.516586046,6.463024666,324.0198693,0,0,943.8740321
URGCP,13139,6.48075096,6.499071129,322.1332714,0,0,942.0148212
NF1P1,8355,6.543344574,6.564545045,322.1046734,0,0,941.9865481
DNAH14,16484,14.60705159,14.58421586,322.0419752,0,0,941.9245528
OR8H1,7575,6.51940747,6.497767311,320.9515704,0,0,940.844289
ANAPC11,13507,6.42599125,6.462624795,320.6906001,0,0,940.5851597
METRNL,25938,6.494208148,6.49562408,320.0916649,0,0,939.9895902
ARHGAP24,18436,6.524088534,6.545363253,320.0533956,0,0,939.9514951
P2RX1,125,6.457010137,6.458282803,319.4969088,0,0,939.3969883
MTPN,17487,6.518349959,6.505156432,319.2141038,0,0,939.1147911
LRR1,21155,6.428601476,6.440821353,318.6965266,0,0,938.5976292
UBLCP1,2532,6.462839864,6.463004626,318.5913108,0,0,938.4923874
TAF5L,21286,6.404624516,6.407550765,318.375081,0,0,938.2759865
ADAMTSL4,13395,6.449522856,6.450806125,317.2790218,0,0,937.1766247
ZPBP2,1482,6.450809519,6.413532701,316.8391612,0,0,936.7342904
DES,9405,6.544079733,6.540224882,316.1119376,0,0,936.0015279
