Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
RERE,13879,0.155683158,6.387018835,4.025799104,7.04E-05,0.99995045,1.305796563
LOC105374121,25851,-0.06690002,6.375262564,-4.007825796,7.57E-05,0.99995045,1.245419477
CIDEA,7261,0.061390129,6.68320153,3.656259768,0.000297377,0.99995045,0.113549343
SLC17A3,10761,0.082228475,7.212497584,3.381747697,0.000806124,0.99995045,-0.704171866
ATP6V1C2,11130,0.070022818,6.441661497,3.317863537,0.001007531,0.99995045,-0.886020179
ZNF768,13719,0.183861505,7.756367625,3.284977295,0.001128592,0.99995045,-0.978377203
F3,2055,0.169480139,7.649700625,3.283740535,0.001133398,0.99995045,-0.981833818
HTR5BP,7427,0.054979872,6.478369044,3.264479468,0.001210743,0.99995045,-1.035510303
LINC00999,12100,-0.069020549,6.600811435,-3.241957229,0.001307384,0.99995045,-1.097902344
GAK,14497,0.113299127,6.287708119,3.212483135,0.001444667,0.99995045,-1.178944899
COMMD4,7346,0.107510362,6.262579933,3.212086424,0.001446603,0.99995045,-1.180030999
LIN52,22187,-0.058234305,6.378127871,-3.055663122,0.002427344,0.99995045,-1.598501645
LOC102724135,9579,-0.057436646,6.351821658,-3.054911881,0.002433264,0.99995045,-1.600464172
PCOTH,12551,-0.089489024,6.499123092,-3.052182458,0.002454883,0.99995045,-1.607590649
FXN,14131,-0.090318846,6.520737461,-3.050908229,0.002465036,0.99995045,-1.61091559
CD164,5438,-0.090880543,6.512929112,-3.050038016,0.002471992,0.99995045,-1.613185555
MOB3A,2291,0.047895704,6.463024666,3.04273961,0.002531047,0.99995045,-1.632199626
OR1J2,4288,-0.139178169,6.572178948,-3.000392369,0.002900038,0.99995045,-1.741679282
GNG5,3998,-0.056283659,6.40174346,-2.984238101,0.003053345,0.99995045,-1.78306235
EXTL3,8934,0.09232825,6.500738037,2.981593487,0.003079138,0.99995045,-1.789817138
CNPY3,11770,-0.067986654,6.295402759,-2.969620797,0.003198427,0.99995045,-1.82032684
FAM174C,9875,-0.066476317,6.291072178,-2.968606922,0.003208721,0.99995045,-1.822905161
LOC154449,4789,0.058787918,6.46696211,2.963696989,0.003259,0.99995045,-1.83537957
GAS2L2,16813,0.181459915,8.264884404,2.96315132,0.003264632,0.99995045,-1.836764721
GATD3A,10968,0.055279452,6.43972099,2.960797682,0.003289027,0.99995045,-1.842736551
URGCP,12510,0.08694157,6.443279444,2.95386257,0.003361882,0.99995045,-1.860306842
NF1P1,14402,0.090610506,6.737121535,2.938287842,0.003530907,0.99995045,-1.899624253
DNAH14,18623,0.091355255,6.427044321,2.937295032,0.00354194,0.99995045,-1.902123893
OR8H1,10269,0.197688428,7.971013714,2.918530519,0.003756492,0.99995045,-1.949218223
ANAPC11,27826,0.18282903,8.418422126,2.913533661,0.003815592,0.99995045,-1.961711084
METRNL,6934,0.136757956,7.181265314,2.900286381,0.003976405,0.99995045,-1.994733351
