Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
RERE,24658,-0.227296988,8.300875093,-3.824848512,0.000156254,0.997655044,0.731915349
LOC105374121,14960,0.042494466,6.637752818,3.557574708,0.000428695,0.997655044,-0.164102852
CIDEA,17761,0.046028669,6.516474673,3.530684007,0.000472955,0.997655044,-0.250946768
SLC17A3,15734,-0.132355481,6.738404457,-3.526629381,0.000479989,0.997655044,-0.263988455
ATP6V1C2,13031,-0.130417865,6.727609246,-3.526528459,0.000480165,0.997655044,-0.264312893
ZNF768,905,0.061711804,6.871299653,3.521819582,0.00048846,0.997655044,-0.279441201
F3,15910,0.322633135,7.96672021,3.51884604,0.000493766,0.997655044,-0.28898474
HTR5BP,9031,-0.055861398,6.493001744,-3.505593601,0.000518081,0.997655044,-0.331427646
LINC00999,19031,-0.051309128,6.488889418,-3.50334689,0.000522313,0.997655044,-0.338608394
GAK,22314,-0.045096686,6.440983652,-3.43287686,0.000672683,0.997655044,-0.561674581
COMMD4,7951,-0.044280797,6.461828357,-3.364828737,0.000855457,0.997655044,-0.773081409
LIN52,6650,0.046398521,6.781946228,3.345742543,0.000914479,0.997655044,-0.831670058
LOC102724135,8191,0.05238301,6.886081243,3.30541136,0.001051875,0.997655044,-0.954452809
PCOTH,27440,-0.045800534,6.571552936,-3.296820152,0.001083519,0.997655044,-0.980428164
FXN,15920,-0.053411722,6.597501717,-3.294730031,0.001091351,0.997655044,-0.986738067
CD164,12884,-0.102593997,7.410858147,-3.294297724,0.001092977,0.997655044,-0.988042699
MOB3A,4499,0.043879222,6.565094381,3.25950436,0.001231502,0.997655044,-1.092519262
OR1J2,23095,-0.037565242,6.466438731,-3.253433366,0.001257281,0.997655044,-1.110642876
GNG5,12245,-0.035938675,6.387060096,-3.242681701,0.001304167,0.997655044,-1.142662092
EXTL3,14821,0.043153382,6.70436419,3.223250339,0.001393038,0.997655044,-1.200278535
CNPY3,7261,0.035169369,6.68320153,3.209083853,0.001461331,0.997655044,-1.242079649
FAM174C,4976,-0.065082478,6.346835555,-3.200850179,0.001502434,0.997655044,-1.266295557
LOC154449,15824,0.107155198,6.743110292,3.188448681,0.001566367,0.997655044,-1.302659352
GAS2L2,12816,0.040264678,6.554196376,3.18522691,0.001583383,0.997655044,-1.312084611
GATD3A,19263,0.113416215,7.344879807,3.183845331,0.001590732,0.997655044,-1.31612367
URGCP,15755,-0.037516718,6.405615323,-3.172810248,0.001650573,0.997655044,-1.348325867
NF1P1,19619,-0.036921575,6.382084827,-3.171891254,0.001655649,0.997655044,-1.351002915
DNAH14,4429,-0.041945586,6.532129802,-3.161088281,0.001716414,0.997655044,-1.382417638
OR8H1,23343,0.03730857,6.315960331,3.155943026,0.001746073,0.997655044,-1.39734453
ANAPC11,17972,-0.155158258,7.628975255,-3.15166234,0.001771108,0.997655044,-1.409745831
METRNL,21521,-0.107953895,7.429588125,-3.129480953,0.001906228,0.997655044,-1.473752942
ARHGAP24,3763,-0.060982382,6.729076522,-3.128385558,0.001913141,0.997655044,-1.476902835
P2RX1,21772,-0.058728385,6.675083656,-3.12774572,0.00191719,0.997655044,-1.478742262
MTPN,25432,-0.055766045,6.525484537,-3.116403004,0.001990286,0.997655044,-1.51129193
LRR1,13540,0.069535767,7.018074317,3.094472777,0.002138949,0.997655044,-1.573908761
UBLCP1,25866,-0.033358739,6.44245496,-3.089189888,0.002176258,0.997655044,-1.588930687
TAF5L,27460,-0.054535755,6.406304996,-3.088795994,0.002179064,0.997655044,-1.590049761
ADAMTSL4,10607,-0.063003338,6.754285139,-3.086875793,0.002192789,0.997655044,-1.595503223
ZPBP2,16092,0.049814095,6.774928029,3.080374636,0.00223985,0.997655044,-1.613943127
DES,5065,-0.034747302,6.416804509,-3.080355565,0.00223999,0.997655044,-1.613997164
HERC2P9,69,0.048858297,6.751500398,3.079799218,0.00224406,0.997655044,-1.61557348
KIF22,22055,0.129570728,10.30693605,3.069262919,0.002322445,0.997655044,-1.645375691
HIPK2,6986,-0.043713618,6.440198683,-3.047519667,0.002492225,0.997655044,-1.706572927
SHMT2,15048,-0.051447066,6.850461143,-3.040438211,0.002549935,0.997655044,-1.726415441
MRPS5,26535,-0.169273806,7.664708766,-3.018006688,0.002740942,0.997655044,-1.788982052
SPN,8824,0.24066295,8.009415975,3.011174184,0.002801679,0.997655044,-1.807952599
OAS3,7064,0.068361356,6.963922209,3.010467918,0.002808027,0.997655044,-1.809911242
CHRNA6,2702,0.04594192,6.719760478,2.996813047,0.002933385,0.997655044,-1.847694179
TRPC4,25072,0.039012446,6.50207987,2.99645198,0.002936768,0.997655044,-1.848691045
TBC1D22A,7950,0.201862805,8.893448329,2.995616322,0.002944612,0.997655044,-1.850997776
RPL35P1,18911,0.039791813,6.71636884,2.969574497,0.003198897,0.997655044,-1.922578331
ST6GALNAC4,2561,0.287863559,7.352068961,2.966124034,0.003234057,0.997655044,-1.932018215
TM2D1,26792,0.323335888,7.506109188,2.965086242,0.003244701,0.997655044,-1.934855411
LRRC23,26684,-0.036097952,6.22041397,-2.964375945,0.003252004,0.997655044,-1.936796731
RASD2,12655,0.035748476,6.57448105,2.961987373,0.003276675,0.997655044,-1.943321743
PTTG1,15529,0.046353128,6.608645594,2.959944563,0.003297911,0.997655044,-1.948898269
UBE2DNL,7756,0.038433058,6.66688728,2.953246515,0.003368424,0.997655044,-1.967157283
ITGA10,3306,0.039788421,6.675538547,2.95295052,0.003371572,0.997655044,-1.967963269
ETFRF1,23879,-0.15351302,7.773585786,-2.948196459,0.003422498,0.997655044,-1.980897961
PLPPR1,25888,0.034050526,6.555982798,2.942294781,0.003486695,0.997655044,-1.99692762
MARS2,11719,-0.048633026,6.738524931,-2.918793768,0.003753401,0.997655044,-2.060457509
UTY,18582,-0.048206474,6.772361497,-2.918061683,0.003762001,0.997655044,-2.062428793
