Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
RERE,26793,14.87338723,14.86518094,710.8322841,0,0,1197.14263
LOC105374121,27617,14.9267101,14.97481888,618.9958081,0,0,1154.573626
CIDEA,27812,14.69292339,14.7256903,594.0697325,0,0,1141.764792
SLC17A3,10257,14.95545457,14.92948156,577.3899737,0,0,1132.851559
ATP6V1C2,4610,14.85528269,14.82079752,574.8771972,0,0,1131.483882
ZNF768,26798,14.85705664,14.84687554,571.6176566,0,0,1129.699787
F3,20932,14.80773685,14.7472678,567.1316973,0,0,1127.225807
HTR5BP,4729,14.90771611,14.91159744,563.2879043,0,0,1125.088607
LINC00999,11036,14.72150334,14.69578593,539.0108324,0,0,1111.205703
GAK,11505,13.65421509,13.62838247,537.4536558,0,0,1110.291777
COMMD4,22616,14.84886789,14.84581595,531.3571254,0,0,1106.685411
LIN52,26796,15.02495012,14.95604611,511.4553743,0,0,1094.588866
LOC102724135,24228,6.436275862,6.425081268,509.3628478,0,0,1093.287193
PCOTH,843,14.85914005,14.8534974,507.9501424,0,0,1092.405107
FXN,26783,14.77950741,14.73898283,502.6080825,0,0,1089.045222
CD164,6593,6.543983292,6.544995287,501.9329854,0,0,1088.617856
MOB3A,23843,6.489645111,6.491970256,498.1246163,0,0,1086.195222
OR1J2,14301,6.613094753,6.584738893,494.7843662,0,0,1084.053752
GNG5,27804,6.434611111,6.425094105,494.673377,0,0,1083.982326
EXTL3,14599,14.56322911,14.57763058,491.1459031,0,0,1081.70317
CNPY3,9179,6.669060736,6.651068428,490.5110209,0,0,1081.291078
FAM174C,23147,6.469623793,6.443562215,490.0087221,0,0,1080.964634
LOC154449,1267,6.668947798,6.650918781,489.5171288,0,0,1080.644797
GAS2L2,9423,6.506779987,6.528117995,487.5199709,0,0,1079.341831
GATD3A,13139,6.499432324,6.499071129,483.7383256,0,0,1076.858744
URGCP,13507,6.468925126,6.462624795,483.3959925,0,0,1076.632927
NF1P1,2291,6.47946328,6.463024666,482.4089562,0,0,1075.980868
DNAH14,8355,6.542841442,6.564545045,482.2680061,0,0,1075.887635
OR8H1,16484,14.60468302,14.58421586,482.1330183,0,0,1075.798319
ANAPC11,21155,6.461986814,6.440821353,479.6801145,0,0,1074.170602
METRNL,25938,6.49795884,6.49562408,479.5677147,0,0,1074.0958
ARHGAP24,7575,6.50567189,6.497767311,479.5659678,0,0,1074.094637
P2RX1,18436,6.523589705,6.545363253,479.1969583,0,0,1073.848926
MTPN,21286,6.420572839,6.407550765,477.9076616,0,0,1072.988819
LRR1,125,6.450013216,6.458282803,477.8819395,0,0,1072.971634
UBLCP1,2532,6.463465973,6.463004626,477.0905554,0,0,1072.442419
TAF5L,17487,6.495062289,6.505156432,476.2692465,0,0,1071.892191
ADAMTSL4,17644,6.428620767,6.433463328,475.0621797,0,0,1071.081667
ZPBP2,13395,6.442487458,6.450806125,474.5611417,0,0,1070.744576
DES,27135,6.600922591,6.588435356,474.096933,0,0,1070.431921
HERC2P9,9405,6.540877824,6.540224882,473.1002445,0,0,1069.759512
KIF22,13127,6.521627861,6.501677012,472.8658618,0,0,1069.601166
HIPK2,26260,6.501417381,6.4858254,472.8460718,0,0,1069.587792
