Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
RERE,16597,0.42791602,7.458469363,3.856074758,0.000138339,0.895822662,0.77535002
LOC105374121,21700,0.425149672,7.43050656,3.855862457,0.000138454,0.895822662,0.774654717
CIDEA,6180,-0.074520041,6.637642324,-3.711053714,0.000241877,0.895822662,0.308492037
SLC17A3,834,-0.073459665,6.62433391,-3.710701374,0.0002422,0.895822662,0.307377588
ATP6V1C2,3215,0.149004216,6.642401866,3.570407486,0.000408971,0.895822662,-0.12868028
ZNF768,24048,-0.069230817,6.906183369,-3.546535952,0.000446372,0.895822662,-0.201343766
F3,11144,0.063025228,6.681155922,3.536563494,0.000462927,0.895822662,-0.231566698
HTR5BP,7226,-0.111263916,6.779963748,-3.506892302,0.00051565,0.895822662,-0.321026531
LINC00999,27102,0.060692323,6.400882642,3.47835842,0.000571611,0.895822662,-0.406402722
GAK,7564,0.059604878,6.604012261,3.463478031,0.000603,0.895822662,-0.450671253
COMMD4,13314,0.087838003,6.530106235,3.443402367,0.000647908,0.895822662,-0.510118024
LIN52,16278,0.087654234,6.542273461,3.4433033,0.000648137,0.895822662,-0.510410582
LOC102724135,4551,-0.056997199,6.42358677,-3.410676905,0.000727866,0.895822662,-0.606338265
PCOTH,21189,0.27661626,6.667366056,3.407922291,0.000735,0.895822662,-0.614398697
FXN,13062,-0.059937062,6.577880076,-3.401821507,0.000751034,0.895822662,-0.632229104
CD164,6986,-0.071119544,6.440198683,-3.393147632,0.000774393,0.895822662,-0.657528853
MOB3A,9186,0.156561227,6.825865829,3.3648312,0.000855449,0.895822662,-0.739705228
OR1J2,21745,-0.057422985,6.58298329,-3.343570743,0.00092143,0.895822662,-0.80098517
GNG5,17761,0.06336444,6.516474673,3.326289681,0.000978518,0.895822662,-0.850529668
EXTL3,25189,-0.106607506,6.64713836,-3.314710185,0.001018593,0.895822662,-0.883594529
CNPY3,998,0.085867314,6.365876332,3.31244644,0.001026604,0.895822662,-0.890046062
FAM174C,13160,0.060577649,6.399789727,3.293388511,0.001096405,0.895822662,-0.944197625
LOC154449,3965,0.079424775,6.752573113,3.2800238,0.001147956,0.895822662,-0.981999087
GAS2L2,6753,0.056353918,6.468705115,3.238862863,0.001321206,0.895822662,-1.097521956
GATD3A,20408,0.054612299,6.450383568,3.237169116,0.00132883,0.895822662,-1.102246542
URGCP,14591,0.090167753,6.590375961,3.236924321,0.001329935,0.895822662,-1.102929189
NF1P1,10801,0.419807585,6.809185426,3.236523546,0.001331746,0.895822662,-1.104046705
DNAH14,15574,0.054302512,6.500805192,3.225679052,0.001381631,0.895822662,-1.13423643
OR8H1,2468,0.053182475,6.485261848,3.224510204,0.00138711,0.895822662,-1.137484718
ANAPC11,16922,-0.053617959,6.277583257,-3.202114869,0.001496052,0.895822662,-1.199510386
METRNL,2056,-0.453830715,9.314786919,-3.200712291,0.001503132,0.895822662,-1.203381514
ARHGAP24,14821,0.062570962,6.70436419,3.198424191,0.001514748,0.895822662,-1.209693294
P2RX1,25012,0.070438882,6.425344497,3.193688182,0.001539055,0.895822662,-1.222744304
MTPN,15140,0.096831501,6.929602164,3.189142008,0.001562727,0.895822662,-1.235255201
LRR1,20902,-0.057316531,6.389460419,-3.180762863,0.001607242,0.895822662,-1.25827067
UBLCP1,15760,0.217399796,7.173012763,3.145353106,0.001808613,0.895822662,-1.354907614
TAF5L,20912,0.058336363,6.575097143,3.145144209,0.001809867,0.895822662,-1.355474715
ADAMTSL4,23648,-0.37536386,6.8412388,-3.136304448,0.001863682,0.895822662,-1.379440007
ZPBP2,13401,0.059881464,6.564770813,3.105053314,0.002065993,0.895822662,-1.463657891
DES,7260,0.094313842,6.712089418,3.10485292,0.002067353,0.895822662,-1.464195379
HERC2P9,4288,-0.137111369,6.572178948,-3.099148688,0.002106419,0.895822662,-1.479481357
KIF22,3153,0.052938897,6.568413911,3.090400511,0.002167656,0.895822662,-1.502873174
HIPK2,25688,0.091711753,6.540045851,3.070898925,0.002310111,0.895822662,-1.554795354
SHMT2,850,0.114859997,6.777958911,3.070330648,0.002314388,0.895822662,-1.556303743
MRPS5,11770,-0.06688393,6.295402759,-3.063099622,0.002369457,0.895822662,-1.575474326
SPN,9875,-0.065396479,6.291072178,-3.061978388,0.002378103,0.895822662,-1.578443093
OAS3,28010,0.34563203,7.395429317,3.053503623,0.002444396,0.895822662,-1.600849285
CHRNA6,12411,0.084944837,6.610077327,3.0376357,0.002573112,0.895822662,-1.642645157
TRPC4,1702,0.570065358,8.433059101,3.029770876,0.00263919,0.895822662,-1.663285126
TBC1D22A,27420,0.051720029,6.488234239,3.02327772,0.002694914,0.895822662,-1.68028746
RPL35P1,21944,0.057990358,6.583547961,3.017606264,0.002744468,0.895822662,-1.695110103
ST6GALNAC4,584,0.057635587,6.588212729,3.017379768,0.002746464,0.895822662,-1.695701518
TM2D1,19438,0.421645867,7.240398516,3.015134453,0.002766326,0.895822662,-1.701562119
LRRC23,11166,-0.069234558,6.621236135,-3.010541626,0.002807364,0.895822662,-1.713537282
RASD2,25787,0.051400889,6.326351753,3.003179017,0.002874317,0.895822662,-1.732698429
PTTG1,4106,-0.165802195,9.012016217,-3.001778621,0.002887217,0.895822662,-1.736337954
UBE2DNL,6255,0.187989844,8.847883235,2.993845202,0.002961301,0.895822662,-1.756926147
ITGA10,4376,0.53415667,7.405616327,2.989017893,0.003007228,0.895822662,-1.7694285
ETFRF1,1100,0.515192888,7.344143618,2.98891501,0.003008213,0.895822662,-1.769694751
PLPPR1,16883,0.515141857,7.342675912,2.988914577,0.003008218,0.895822662,-1.769695872
MARS2,25520,0.230752424,6.496520282,2.979429131,0.003100396,0.895822662,-1.794206284
UTY,22564,-0.088804958,6.704705698,-2.975816131,0.003136182,0.895822662,-1.80352298
MAGEC1,17746,0.115246366,6.478824858,2.971979344,0.003174599,0.895822662,-1.813405086
EAPP,5265,0.462602186,7.502327828,2.970347228,0.003191071,0.895822662,-1.817605155
PDIA6,2893,0.409596283,7.266355785,2.968311409,0.003211727,0.895822662,-1.82284106
NFATC3,18078,-0.054943475,6.588434815,-2.961903502,0.003277545,0.895822662,-1.839299412
CYP2B6,9614,0.50245746,7.805671588,2.961597048,0.003280723,0.895822662,-1.840085682
FGFBP2,13482,0.489330323,7.735822771,2.961499608,0.003281734,0.895822662,-1.840335671
HBS1L,9618,0.057421624,6.658237105,2.959616792,0.00330133,0.895822662,-1.845164583
LRRC23,7600,-0.08979181,6.441569981,-2.940829062,0.003502808,0.895822662,-1.893191372
RBMY1E,4166,-0.085298676,6.417128298,-2.939850189,0.003513608,0.895822662,-1.895685744
SDK1,9620,0.073435599,6.772035953,2.937738145,0.003537012,0.895822662,-1.901064996
PNCK,4729,-0.086894587,14.91159744,-2.937419275,0.003540558,0.895822662,-1.901876824
NRDE2,26506,-0.073696031,6.419035348,-2.934768969,0.003570156,0.895822662,-1.908621148
SLC9B1P1,20558,0.120559559,6.334761893,2.930264088,0.003620984,0.895822662,-1.920071688
CRACR2B,10877,-0.053612279,6.353661176,-2.924847192,0.003682977,0.895822662,-1.933818408
REEP3,16439,-0.259767008,8.481525935,-2.922864402,0.003705911,0.895822662,-1.938844226
ZNF365,14569,-0.254236404,8.391625446,-2.92255717,0.003709476,0.895822662,-1.939622685
BTBD3,7759,-0.246066129,8.271328444,-2.92210787,0.003714695,0.895822662,-1.940760975
RBM17,14695,-0.245646741,8.247391691,-2.922087675,0.00371493,0.895822662,-1.940812133
LINC01140,22993,-0.203684553,10.97857283,-2.920666981,0.003731479,0.895822662,-1.944410315
TRNAU1AP,7065,-0.05262135,6.449186802,-2.91941011,0.003746175,0.895822662,-1.947592203
IL21R,4408,-0.052570737,6.450928403,-2.919358108,0.003746785,0.895822662,-1.947723824
SYNE2,10437,-0.057870429,6.718752367,-2.913473548,0.003816308,0.895822662,-1.962603693
RASSF4,7464,-0.05721177,6.753786421,-2.909817629,0.003860093,0.895822662,-1.971833875
GPR173,12770,-0.057148255,6.744720373,-2.909768187,0.003860688,0.895822662,-1.971958627
OR8H2,19551,-0.056889481,6.743766215,-2.909562767,0.003863162,0.895822662,-1.972476922
SLC4A1,27996,0.048966712,6.536104586,2.907090801,0.003893048,0.895822662,-1.97871123
ANTXR2,14402,0.085465773,6.737121535,2.905828772,0.003908387,0.895822662,-1.981892143
MIEN1,25470,-0.087851154,7.013949534,-2.905291251,0.003914937,0.895822662,-1.983246553
TBXT,3768,0.058998618,6.543360591,2.903976896,0.003930995,0.895822662,-1.986557387
CENPV,3894,0.404271553,8.352436006,2.890080569,0.004104487,0.895822662,-2.021475304
TMEM59,25872,-0.191543119,7.175755731,-2.887285145,0.004140219,0.895822662,-2.028480362
RHOXF2,23864,0.05023179,6.337580332,2.881079075,0.004220564,0.895822662,-2.044009245
TXNDC11,25507,0.621379619,7.964708254,2.876780408,0.004277044,0.895822662,-2.054746885
DOCK2,13450,0.215663731,6.701512287,2.874463878,0.004307766,0.895822662,-2.060527055
LRRC2,22441,0.216508309,6.697449206,2.874457029,0.004307858,0.895822662,-2.060544139
LINC00607,520,0.219500205,6.736021801,2.874437273,0.00430812,0.895822662,-2.060593413
PDXDC2P,23905,-0.066594654,6.780510846,-2.865988287,0.004421891,0.895822662,-2.081637675
SRF,5088,-0.061090693,6.794040428,-2.865916088,0.004422875,0.895822662,-2.081817253
LOC105369958,6489,0.269351524,7.218555799,2.864089634,0.004447831,0.895822662,-2.086358668
SLITRK3,21139,-0.06510217,6.690147169,-2.86291552,0.004463941,0.895822662,-2.089276614
PSEN2,28001,-0.370529049,9.782779008,-2.859748824,0.004507658,0.895822662,-2.097140948
KRT8P47,12804,0.118350189,6.629386732,2.856001566,0.004559892,0.895822662,-2.106436436
LLPHP3,15910,0.382216588,7.96672021,2.852888891,0.004603698,0.895822662,-2.114148997
ATG10,15055,0.17334062,6.953600772,2.847738541,0.004677023,0.895822662,-2.126893004
TPT1,6861,0.489871455,7.799757613,2.844694884,0.004720853,0.895822662,-2.134413965
OGDH,2513,-0.049821112,6.494109849,-2.83361502,0.004883581,0.895822662,-2.161728273
OTUD1,4876,0.068033743,6.742336225,2.833340742,0.004887674,0.895822662,-2.162403148
NDUFAF3,2217,0.064718023,6.711543393,2.831994946,0.004907798,0.895822662,-2.165713651
GABARAPL2,23694,-0.046098755,6.471327632,-2.825547638,0.005005255,0.895822662,-2.181552606
ADAMTS6,24194,0.044992408,6.550507782,2.824581323,0.005020012,0.895822662,-2.183923582
CREB3L2,5868,0.748181841,8.191380287,2.824377218,0.005023134,0.895822662,-2.184424281
PANX3,6694,0.053819875,6.567983018,2.809691992,0.005252447,0.895822662,-2.22035924
LINC00472,3809,-0.202452844,9.808330653,-2.808890855,0.005265226,0.895822662,-2.222314523
CD52,19003,0.180550002,6.931757602,2.806201263,0.005308335,0.895822662,-2.228874972
ASB16-AS1,9926,0.406231638,8.321069849,2.802515666,0.005367928,0.895822662,-2.237855192
H2AC16,2440,0.81929231,8.737153542,2.800042039,0.005408264,0.895822662,-2.243876082
SLC6A17,5977,0.76955243,8.535589947,2.798333259,0.005436288,0.895822662,-2.248032364
ARPC5,16273,0.462241369,8.57118158,2.797503339,0.005449946,0.895822662,-2.250050117
GABRA2,19872,-0.061037528,6.395783467,-2.794398892,0.005501313,0.895822662,-2.257592809
AFAP1L1,6032,0.082043447,6.451952343,2.787718168,0.005613347,0.895822662,-2.273797615
OPN5,6615,-0.184501943,10.68542589,-2.787441035,0.005618039,0.895822662,-2.274469034
CASC15,28000,-0.35799591,8.241205886,-2.78669064,0.00563076,0.895822662,-2.276286726
F11,3490,0.297546164,7.413072443,2.784448959,0.00566892,0.895822662,-2.281714012
DHX35,13980,-0.057790309,6.47569941,-2.783961539,0.005677248,0.895822662,-2.282893544
SUV39H1,14654,0.060003056,6.436155064,2.779260916,0.005758136,0.895822662,-2.294258769
REPS2,8581,0.727382602,9.033889313,2.778688319,0.00576806,0.895822662,-2.295641955
SLC7A1,2003,-0.274482793,11.07937445,-2.775212318,0.005828639,0.895822662,-2.304032903
PRDM4,22390,0.171219286,7.445666846,2.773569239,0.005857474,0.895822662,-2.307995767
TMTC3,19903,0.243090525,6.638785292,2.771843503,0.005887899,0.895822662,-2.312155589
SEPTIN11,18198,-0.052223546,6.394194764,-2.770481676,0.005912008,0.895822662,-2.315436485
HAUS3,2121,0.057368561,6.687915883,2.763383155,0.006039135,0.895822662,-2.332513356
NR2C2,19118,0.053464665,6.590635066,2.762975721,0.006046506,0.895822662,-2.333492256
NOXO1,9928,0.054877479,6.680330252,2.76173753,0.006068957,0.895822662,-2.336466286
DPY19L2P2,23202,-0.052732738,6.519423923,-2.760365001,0.006093932,0.895822662,-2.339761503
MKI67,3898,-0.111721391,6.987798898,-2.76014877,0.006097875,0.895822662,-2.340280496
CASP8,18694,-0.110158618,6.964204331,-2.75987816,0.006102813,0.895822662,-2.340929955
FLJ16779,7679,-0.109423328,6.945015336,-2.759751135,0.006105132,0.895822662,-2.341234791
CCDC179,17271,0.070679573,6.631252079,2.758611982,0.006125965,0.895822662,-2.343967952
RNF144A,23415,-0.213676743,10.50957252,-2.757624921,0.006144069,0.895822662,-2.346335331
BHMT2,10818,0.348124966,7.644483682,2.753616929,0.006218079,0.895822662,-2.355939882
CHST6,18067,-0.19169027,7.914492276,-2.752311993,0.006242349,0.895822662,-2.359064099
GRASP,20425,-0.082492232,7.032233639,-2.747678758,0.006329214,0.895822662,-2.370145408
UVSSA,15496,-0.085023114,7.051438869,-2.747426523,0.006333974,0.895822662,-2.370748169
BRF2,6954,-0.054622638,6.65300122,-2.7464872,0.006351729,0.895822662,-2.372992388
LOC107986637,4267,0.135146973,6.627438943,2.742480194,0.006427977,0.895822662,-2.382557684
MASTL,790,0.135699137,6.619316502,2.742175326,0.006433812,0.895822662,-2.383284904
PRR30,19669,-0.22745995,9.675169328,-2.741557659,0.006445649,0.895822662,-2.384758028
CLDN3,12222,-0.235117735,9.723631797,-2.740753358,0.006461091,0.895822662,-2.386675795
SPRTN,13709,-0.27657961,6.644233193,-2.736152256,0.006550075,0.895822662,-2.397636335
LYZL4,27562,0.280167014,7.082891335,2.73179573,0.006635348,0.895822662,-2.407998115
ZNF700,24834,0.053080131,6.615890948,2.724991289,0.006770544,0.895822662,-2.424150715
SLC29A2,22194,0.382521325,7.579974699,2.714904447,0.006975534,0.895822662,-2.448024662
TDRD12,18951,0.582567462,7.097402621,2.707411868,0.007131409,0.895822662,-2.465703859
C1orf194,16988,0.60011367,7.16515919,2.707337644,0.007132968,0.895822662,-2.465878763
SIX4,13951,0.257697636,6.966098235,2.707281633,0.007134146,0.895822662,-2.466010746
ZNF613,22201,0.058875368,6.620389022,2.707175647,0.007136374,0.895822662,-2.46626048
BSG,8850,0.251325171,6.940304869,2.707013766,0.007139778,0.895822662,-2.466641904
LOC105379332,25660,0.095595823,6.763551501,2.70499795,0.007182292,0.895822662,-2.47138974
HINT3,24342,-0.19975213,7.716567775,-2.704749894,0.00718754,0.895822662,-2.471973752
PDCD10,26289,-0.066973025,6.840297028,-2.704187511,0.007199449,0.895822662,-2.473297613
TEAD3,14454,0.294585786,6.985791309,2.699908673,0.007290645,0.895822662,-2.483361492
FOXN3-AS1,26749,0.372628071,8.229675146,2.693094261,0.007438033,0.895822662,-2.49935774
STAR,3752,-0.162336587,11.77886812,-2.692234989,0.007456808,0.895822662,-2.501372075
REP15,2132,0.370685731,8.610186475,2.688192144,0.007545715,0.895822662,-2.510841229
CDH16,19291,0.268926424,9.632134369,2.686876956,0.007574843,0.895822662,-2.513918741
LOC101927531,168,-0.067574503,6.838569881,-2.681499673,0.007694991,0.895822662,-2.52648654
LOC100129603,7954,0.053299468,6.546034948,2.677746407,0.007779867,0.895822662,-2.535244468
CLNK,9907,0.214814324,8.664381447,2.677152585,0.007793373,0.895822662,-2.536629029
TMEM65,14694,0.235056339,9.465451377,2.676833955,0.007800628,0.895822662,-2.53737183
FOXP4,536,0.160731721,7.89532967,2.676691051,0.007803884,0.895822662,-2.537704944
MRPS18B,11737,0.047917002,6.539264553,2.67308482,0.007886456,0.895822662,-2.546105606
VN1R1,27759,-0.254261884,9.518585429,-2.672334008,0.007903746,0.895822662,-2.547853255
ANKRD16,4180,-0.168407167,9.279160249,-2.672109014,0.007908934,0.895822662,-2.548376877
TEKT5,3256,-0.160217723,9.136485446,-2.671488055,0.007923268,0.895822662,-2.549821798
METRNL,13497,-0.154154102,8.88876506,-2.671062604,0.007933102,0.895822662,-2.550811603
FSCN2,28171,-0.210380401,8.024485346,-2.668701535,0.007987878,0.895822662,-2.556301868
LINC01210,22562,0.353940592,8.824522853,2.668145706,0.008000823,0.895822662,-2.557593681
DIPK1B,22237,-0.617112412,8.269883311,-2.665228305,0.008069075,0.895822662,-2.56436986
ALG14,5844,0.049105095,6.643962919,2.661838062,0.008149046,0.895822662,-2.572235418
FHOD1,21832,0.079987742,6.498281403,2.659967259,0.00819348,0.895822662,-2.5765717
CARF,5434,0.079383808,6.498750162,2.659681403,0.008200289,0.895822662,-2.577234023
ADGRG7,13379,0.079127309,6.496339102,2.659556862,0.008203257,0.895822662,-2.57752256
MORC2,14646,0.295599782,6.940077767,2.657395862,0.00825491,0.895822662,-2.582527126
GRHL3,7922,-0.469461192,7.38926487,-2.657308757,0.008256998,0.895822662,-2.582728769
SBDS,15487,0.297507396,6.980709447,2.657183421,0.008260004,0.895822662,-2.583018899
ANO2,25343,-0.06048118,6.77009473,-2.656035286,0.008287581,0.895822662,-2.585676036
ZNF516-DT,10194,0.049564531,6.447253589,2.653719571,0.008343455,0.895822662,-2.591031977
KIF25,2342,-0.158153425,8.811375222,-2.653298192,0.008353658,0.895822662,-2.592006091
ACKR1,3678,-0.495500287,7.462760819,-2.652914206,0.008362966,0.895822662,-2.592893634
ZNF318,6891,0.138216979,6.722748773,2.65210403,0.008382635,0.895822662,-2.594765868
RAB25,5675,-0.046522511,6.26705835,-2.650501766,0.008421656,0.895822662,-2.598466932
FAM83B,20724,0.147033609,6.615481962,2.647958879,0.00848392,0.895822662,-2.604336357
LRRC8C,5391,-0.056095312,6.530114796,-2.646566881,0.008518179,0.895822662,-2.607547055
DPPA4,1482,0.040189046,6.413532701,2.644302084,0.008574184,0.895822662,-2.612767453
GAGE2E,4645,-0.181189261,10.50565025,-2.642900707,0.008609003,0.895822662,-2.615995517
DFFA,13587,-0.045004973,6.390808273,-2.639583456,0.008691931,0.895822662,-2.62363028
NDUFA3,3927,-0.050121488,6.753137275,-2.634669076,0.008816105,0.895822662,-2.634924067
KLLN,8262,-0.047594358,6.365964982,-2.633848824,0.008836985,0.895822662,-2.636807139
ZFY,21795,-0.185167534,11.60702496,-2.627954744,0.008988332,0.895822662,-2.650321865
SNAI2,17060,0.691673604,11.48452295,2.624108587,0.009088343,0.895822662,-2.659125257
LAIR2,2204,0.662540879,10.91916788,2.623945953,0.009092594,0.895822662,-2.659497235
SERPINA11,9453,0.163130964,7.085682623,2.62098297,0.009170351,0.895822662,-2.666270352
EEPD1,20433,0.056905998,6.676959655,2.620080542,0.009194152,0.895822662,-2.668331771
ARSH,25824,-0.042938117,6.449454736,-2.619562251,0.009207846,0.895822662,-2.669515397
F11R,6134,0.149311922,7.223430987,2.618169476,0.009244737,0.895822662,-2.672694986
ZNF589,13777,0.147830596,7.200103314,2.618053513,0.009247815,0.895822662,-2.672959646
MDFIC,6701,-0.046572787,6.465841515,-2.61529673,0.009321247,0.895822662,-2.679248121
LINC02345,27388,0.546421258,8.330644443,2.615231836,0.009322982,0.895822662,-2.679396073
NR4A1,17225,0.070602415,6.650221013,2.61249925,0.009396297,0.895822662,-2.685622961
SELENOH,15980,0.070489428,6.643609894,2.612447853,0.009397681,0.895822662,-2.685740022
DCN,3492,0.070366143,6.638116223,2.612391641,0.009399195,0.895822662,-2.685868048
UTRN,12364,0.069177581,6.614545711,2.611840389,0.009414052,0.895822662,-2.687123411
RANBP6,11046,0.339780218,7.25279802,2.611802153,0.009415083,0.895822662,-2.687210478
PSMC3IP,18986,-0.054865595,6.586805422,-2.611384279,0.00942636,0.895822662,-2.688161918
COPB2,7181,0.084849371,6.309730811,2.606917529,0.009547663,0.895822662,-2.698322995
ENO2,16365,-0.055176822,6.504918401,-2.606415374,0.009561387,0.895822662,-2.699464271
C12orf43,20859,-0.05920927,6.650113309,-2.604718904,0.009607882,0.895822662,-2.703318382
TMEM106B,19525,-0.083414978,6.518792252,-2.601624457,0.009693215,0.895822662,-2.710342295
ZBTB2,7459,-0.060585401,6.425586228,-2.601392879,0.009699628,0.895822662,-2.710867621
INHBB,22751,-0.041492911,6.387380181,-2.59782688,0.009798863,0.895822662,-2.7189513
FAM149A,17721,-0.175842672,7.224609249,-2.595659228,0.009859628,0.895822662,-2.723859923
NFKBIZ,1538,-0.077370827,6.91006531,-2.592561467,0.009947052,0.895822662,-2.730867966
PM20D2,8637,-0.07332809,6.870655992,-2.592485755,0.009949197,0.895822662,-2.731039149
GPR182,18013,-0.111452061,6.564010925,-2.592322932,0.009953813,0.895822662,-2.73140727
SLU7,25091,-0.047353904,6.381440025,-2.586824926,0.01011078,0.895822662,-2.74382458
ZNF672,11754,0.116799021,6.708706096,2.584919407,0.010165697,0.895822662,-2.748122335
BUD13,897,0.115800058,6.685775261,2.584865946,0.010167242,0.895822662,-2.748242867
MAML2,13795,-0.17082329,13.54144212,-2.582368895,0.01023962,0.895822662,-2.753870083
MYH15,19090,0.099249569,6.911634092,2.579421283,0.010325651,0.895822662,-2.760505964
TAT,12566,0.050430699,6.398150778,2.574704735,0.010464655,0.895822662,-2.771109126
NECAB3,16556,0.043736706,6.404556159,2.570115583,0.010601508,0.895822662,-2.781408074
ZFR2,25598,0.51257383,8.495685412,2.569926619,0.010607178,0.895822662,-2.781831768
FOCAD,5275,0.396355447,7.074129889,2.568453781,0.010651458,0.895822662,-2.785133144
TTTY18,419,-0.140493983,7.565611073,-2.565247921,0.010748412,0.895822662,-2.792312843
SIGMAR1,20116,0.069090798,6.738113209,2.564391358,0.01077445,0.895822662,-2.794229709
TEX13D,19653,0.108462895,6.864653693,2.558358059,0.010959452,0.895822662,-2.807714026
DOK7,23559,0.106510538,6.651776554,2.557783348,0.010977222,0.895822662,-2.808996909
NPAP1P7,8217,-0.086580438,6.497179947,-2.550174516,0.011214919,0.895822662,-2.825955518
PIGR,7189,0.536924399,9.554611364,2.548960857,0.011253255,0.895822662,-2.828656056
KRT76,2555,-0.061792085,6.429678517,-2.543381051,0.011431013,0.895822662,-2.841055961
PLA2G3,8173,-0.045836463,6.439688202,-2.540255887,0.011531662,0.895822662,-2.84798959
WNT2,20471,0.312338004,7.354998342,2.537997468,0.011604888,0.895822662,-2.852995138
ABHD17A,18288,0.318655607,7.440465435,2.537953756,0.011606309,0.895822662,-2.85309198
FAM177B,25182,0.29273284,7.904642669,2.537180069,0.011631493,0.895822662,-2.854805766
DDHD2,21805,0.274484333,8.949005913,2.537140875,0.01163277,0.895822662,-2.854892571
GSTM1,8047,-0.049568992,6.405426084,-2.536318362,0.011659599,0.895822662,-2.856713936
PDE9A,15715,-0.047958307,6.409141604,-2.534996459,0.011702833,0.895822662,-2.859639961
MTHFSD,27470,-0.167979314,6.695895232,-2.534350607,0.011724007,0.895822662,-2.86106902
CCZ1B,1940,-0.067692506,6.567011525,-2.531134617,0.011829956,0.895822662,-2.86817976
CD40LG,22518,-0.04515069,6.430012317,-2.529607739,0.011880555,0.895822662,-2.871552745
LCE1B,20802,0.538391501,7.949717073,2.528031436,0.011932995,0.895822662,-2.87503287
BRD7,7650,0.151684115,7.551354367,2.526076259,0.011998326,0.895822662,-2.879346577
PLA2R1,20940,-0.113897437,6.931482315,-2.525722407,0.012010183,0.895822662,-2.88012694
SPG21,20611,-0.152090909,6.968563981,-2.524143378,0.012063224,0.895822662,-2.883607948
