Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
RERE,7951,-0.062762927,6.461828357,-4.090042258,5.42E-05,0.711115528,1.669137143
LOC105374121,10219,0.058728245,6.49821524,4.047326605,6.45E-05,0.711115528,1.515871019
CIDEA,136,0.067958112,6.702021735,3.921965391,0.000106711,0.711115528,1.074441419
SLC17A3,9655,0.062725706,6.681248404,3.917703314,0.00010853,0.711115528,1.059654055
ATP6V1C2,14821,0.060574795,6.70436419,3.880147417,0.000125875,0.711115528,0.929982667
ZNF768,4302,0.044311608,6.393155094,3.525230055,0.000482439,0.998806254,-0.239075321
F3,25730,0.322498676,6.875354437,3.419587388,0.000705228,0.998806254,-0.567121239
HTR5BP,11418,-0.090227901,6.887548988,-3.379870387,0.000811464,0.998806254,-0.688060196
LINC00999,19199,0.145290859,6.579780565,3.379661678,0.00081206,0.998806254,-0.688692255
GAK,4268,-0.06098545,6.773250953,-3.378708044,0.000814787,0.998806254,-0.691579801
COMMD4,14960,0.046981421,6.637752818,3.373066223,0.000831096,0.998806254,-0.70864741
LIN52,14038,-0.047540007,6.489961392,-3.356583401,0.000880505,0.998806254,-0.758359351
LOC102724135,25878,0.045333022,6.42150388,3.304811346,0.001054057,0.998806254,-0.913029739
PCOTH,24499,0.047928381,6.500195484,3.242770486,0.001303773,0.998806254,-1.095426173
FXN,9186,0.12012067,6.825865829,3.235115979,0.001338125,0.998806254,-1.117706339
CD164,3965,0.061634972,6.752573113,3.189636931,0.001560134,0.998806254,-1.24906798
MOB3A,7564,0.043753562,6.604012261,3.185936389,0.001579621,0.998806254,-1.25968006
OR1J2,4767,0.041426281,6.284919864,3.161410554,0.001714571,0.998806254,-1.329721369
GNG5,13901,0.073635669,6.702518947,3.15892155,0.001728846,0.998806254,-1.33680116
EXTL3,20674,0.047437428,6.541355219,3.141894615,0.001829481,0.998806254,-1.385092839
CNPY3,1279,0.044402912,6.281264751,3.136456652,0.001862743,0.998806254,-1.400464376
FAM174C,4355,0.059364401,6.228390645,3.05828165,0.002406814,0.998806254,-1.618677193
LOC154449,9289,0.050003906,6.483700859,3.053042978,0.002448048,0.998806254,-1.63311491
GAS2L2,14508,0.049200848,6.492431707,3.051795467,0.002457963,0.998806254,-1.636549599
GATD3A,5540,-0.041166889,6.38303453,-3.050255267,0.002470254,0.998806254,-1.64078831
URGCP,24290,0.071447654,6.843664145,3.036807182,0.00258,0.998806254,-1.677712519
NF1P1,24424,-0.045280225,6.676525578,-3.034502361,0.002599253,0.998806254,-1.684025407
DNAH14,17993,-0.048683884,6.660061607,-3.031362467,0.002625693,0.998806254,-1.69261829
OR8H1,26175,0.042730429,6.350006987,3.00519844,0.002855809,0.998806254,-1.763894773
ANAPC11,10868,-0.054859063,6.712439941,-3.00461603,0.002861136,0.998806254,-1.765474758
METRNL,360,0.055004433,6.871416501,2.994173505,0.002958201,0.998806254,-1.793754592
ARHGAP24,11946,0.045564967,6.85329917,2.988739584,0.003009895,0.998806254,-1.80843367
P2RX1,5180,0.040949781,6.425394125,2.988576696,0.003011458,0.998806254,-1.808873304
MTPN,14658,0.041468559,6.453659455,2.98837439,0.003013399,0.998806254,-1.809419296
LRR1,18245,0.041125063,6.438607121,2.988356242,0.003013573,0.998806254,-1.809468272
UBLCP1,9686,0.110226057,6.980131274,2.987944738,0.003017526,0.998806254,-1.810578742
TAF5L,17764,0.119340132,7.558729385,2.986838706,0.003028173,0.998806254,-1.81356272
ADAMTSL4,9372,0.085610244,6.633368118,2.982968794,0.0030657,0.998806254,-1.823995205
ZPBP2,25941,0.040833153,6.381118846,2.971969589,0.003174697,0.998806254,-1.853577071
DES,7143,0.05536003,6.601730444,2.971551533,0.003178909,0.998806254,-1.854699379
HERC2P9,21944,0.045451045,6.583547961,2.96376454,0.003258303,0.998806254,-1.875576973
KIF22,584,0.045170217,6.588212729,2.963360385,0.003262473,0.998806254,-1.876659133
HIPK2,28064,0.041809428,6.532758917,2.953150207,0.003369448,0.998806254,-1.903951553
SHMT2,15563,0.602996346,7.437543819,2.947235099,0.003432881,0.998806254,-1.919722265
MRPS5,11484,0.607346771,7.475928594,2.946903206,0.003436472,0.998806254,-1.920606265
SPN,14211,0.044969087,6.611175024,2.937137389,0.003543695,0.998806254,-1.946575456
OAS3,17127,0.046085314,6.517726471,2.911666909,0.003837888,0.998806254,-2.013922689
CHRNA6,4315,0.041864489,6.376421964,2.90451817,0.003924375,0.998806254,-2.032725106
TRPC4,22134,0.053099434,6.636044461,2.895950094,0.004030373,0.998806254,-2.055202961
TBC1D22A,15529,0.052461808,6.608645594,2.872928765,0.004328236,0.998806254,-2.115286484
RPL35P1,25644,0.128893878,7.112026551,2.869214165,0.004378134,0.998806254,-2.12493866
ST6GALNAC4,2763,0.827823403,11.58738172,2.847819668,0.00467586,0.998806254,-2.180300496
TM2D1,18083,0.046777096,6.53347066,2.847294173,0.004683399,0.998806254,-2.181655356
LRRC23,10819,0.040064285,6.534575717,2.841476586,0.004767604,0.998806254,-2.196638729
RASD2,25728,0.745966022,8.845313451,2.841263304,0.004770717,0.998806254,-2.197187489
PTTG1,21564,1.334523872,9.557764195,2.839047254,0.004803173,0.998806254,-2.202886938
UBE2DNL,2922,0.041550549,6.46265875,2.83554718,0.004854842,0.998806254,-2.211880165
ITGA10,5998,0.04132385,6.469481188,2.835072913,0.004861882,0.998806254,-2.213097956
ETFRF1,23884,0.045762386,6.4482496,2.817720966,0.005125922,0.998806254,-2.257520091
PLPPR1,2186,0.049147847,6.604964732,2.811887793,0.005217566,0.998806254,-2.272395228
MARS2,23878,0.040166044,6.76433867,2.811718867,0.005220242,0.998806254,-2.272825568
