Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
RERE,26793,-44.60736702,14.86518094,-1260.321397,0,0,1300.824357
LOC105374121,27617,-44.87789811,14.97481888,-1100.20491,0,0,1274.871029
CIDEA,27812,-44.14319069,14.7256903,-1055.140744,0,0,1266.284687
SLC17A3,10257,-44.80865237,14.92948156,-1022.701667,0,0,1259.695559
ATP6V1C2,4610,-44.4996014,14.82079752,-1018.0468,0,0,1258.720355
ZNF768,26798,-44.54632117,14.84687554,-1013.216284,0,0,1257.700235
F3,20932,-44.29846758,14.7472678,-1003.001071,0,0,1255.515352
HTR5BP,4729,-44.64123957,14.91159744,-997.1787566,0,0,1254.253017
LINC00999,11036,-44.10918473,14.69578593,-954.7547397,0,0,1244.665584
GAK,11505,-40.90517869,13.62838247,-951.8533364,0,0,1243.983916
COMMD4,22616,-44.50997265,14.84581595,-941.6032607,0,0,1241.547984
LIN52,26796,-44.90312246,14.95604611,-903.6259835,0,0,1232.130995
LOC102724135,24228,-19.26133001,6.425081268,-901.1484665,0,0,1231.494389
PCOTH,843,-44.53657291,14.8534974,-900.0397003,0,0,1231.208577
FXN,26783,-44.24827821,14.73898283,-889.57659,0,0,1228.483378
CD164,6593,-19.61461093,6.544995287,-889.4073497,0,0,1228.438877
MOB3A,23843,-19.4936591,6.491970256,-884.5611966,0,0,1227.158851
OR1J2,27804,-19.28775124,6.425094105,-876.5875335,0,0,1225.028301
GNG5,14301,-19.78620196,6.584738893,-875.1673797,0,0,1224.645612
EXTL3,14599,-43.7410127,14.57763058,-872.085646,0,0,1223.81179
CNPY3,9179,-19.93351238,6.651068428,-866.7331117,0,0,1222.352448
FAM174C,9423,-19.55533864,6.528117995,-866.1818727,0,0,1222.201349
LOC154449,23147,-19.34308801,6.443562215,-866.1000265,0,0,1222.178901
GAS2L2,1267,-19.93302264,6.650918781,-864.9703007,0,0,1221.868715
GATD3A,13139,-19.48265714,6.499071129,-857.2366288,0,0,1219.728082
URGCP,8355,-19.66412538,6.564545045,-856.8684477,0,0,1219.625417
NF1P1,2291,-19.44597223,6.463024666,-855.9008375,0,0,1219.355276
DNAH14,13507,-19.36092115,6.462624795,-855.2919772,0,0,1219.185047
OR8H1,16484,-43.78525815,14.58421586,-854.5158344,0,0,1218.967773
ANAPC11,18436,-19.60648144,6.545363253,-851.4213523,0,0,1218.098429
METRNL,7575,-19.51552597,6.497767311,-850.4600573,0,0,1217.827365
ARHGAP24,25938,-19.48705498,6.49562408,-850.2304475,0,0,1217.76255
P2RX1,125,-19.36648398,6.458282803,-848.2585678,0,0,1217.204791
MTPN,21155,-19.32304664,6.440821353,-847.9665296,0,0,1217.122014
LRR1,17487,-19.52146484,6.505156432,-846.2507815,0,0,1216.634798
UBLCP1,2532,-19.3876622,6.463004626,-846.0153787,0,0,1216.567831
TAF5L,21286,-19.22593404,6.407550765,-846.0092753,0,0,1216.566095
ADAMTSL4,13395,-19.34400233,6.450806125,-842.3690256,0,0,1215.52682
ZPBP2,17644,-19.26133351,6.433463328,-841.4657856,0,0,1215.267869
DES,9405,-19.62473306,6.540224882,-839.1475951,0,0,1214.601289
HERC2P9,27135,-19.76220672,6.588435356,-839.1032531,0,0,1214.588511
KIF22,21199,-20.30518531,6.771216324,-838.550067,0,0,1214.429012
HIPK2,7272,-19.67738676,6.554903761,-838.1153962,0,0,1214.303569
SHMT2,1482,-19.27487459,6.413532701,-838.0279035,0,0,1214.278307
MRPS5,20395,-19.53380108,6.51402686,-837.5214642,0,0,1214.132002
SPN,26260,-19.45037041,6.4858254,-836.2903292,0,0,1213.77577
OAS3,9839,-19.62913669,6.539691296,-836.0314752,0,0,1213.700766
CHRNA6,18063,-19.83705016,6.599440384,-835.9907818,0,0,1213.688972
TRPC4,13127,-19.50139289,6.501677012,-835.9206256,0,0,1213.668636
TBC1D22A,12732,-18.85611259,6.284072152,-835.0342464,0,0,1213.411482
RPL35P1,11571,-19.85979774,6.62111619,-834.9177229,0,0,1213.377645
ST6GALNAC4,19871,-19.99316997,6.659518131,-833.5407536,0,0,1212.977239
TM2D1,1654,-19.27345711,6.417822936,-832.8406951,0,0,1212.773278
LRRC23,9693,-19.67596345,6.561920633,-832.541781,0,0,1212.68611
RASD2,7078,-19.43309528,6.481776756,-832.2974676,0,0,1212.614828
PTTG1,22310,-19.72763561,6.575247478,-831.8754716,0,0,1212.491629
UBE2DNL,15562,-19.80012572,6.602809082,-831.8295203,0,0,1212.478208
ITGA10,22391,-19.59345139,6.52569878,-831.4037179,0,0,1212.353789
ETFRF1,16672,-19.42465837,6.474891479,-831.164403,0,0,1212.283819
PLPPR1,18828,-19.46338946,6.485319721,-830.8209883,0,0,1212.183358
MARS2,12698,-19.28799771,6.434874282,-830.7882522,0,0,1212.173778
UTY,7261,-20.11908312,6.68320153,-830.1799676,0,0,1211.995665
MAGEC1,15723,-19.75718587,6.576529688,-830.1723479,0,0,1211.993432
EAPP,24646,-19.33001189,6.452823933,-829.9971996,0,0,1211.942109
PDIA6,25377,-19.35804673,6.45110277,-829.7195778,0,0,1211.860723
NFATC3,17628,-19.30714859,6.429015439,-829.6150382,0,0,1211.830067
CYP2B6,11434,-19.53396756,6.512735189,-829.1715733,0,0,1211.699952
FGFBP2,4413,-19.41229552,6.460699423,-829.0535382,0,0,1211.665302
HBS1L,25877,-19.62389445,6.53627549,-827.8946809,0,0,1211.324707
LRRC23,797,-19.57764324,6.52397014,-827.7790961,0,0,1211.290695
RBMY1E,11421,-19.74748893,6.578202597,-827.6627931,0,0,1211.256465
SDK1,2778,-19.26164965,6.417724257,-826.7795757,0,0,1210.996278
PNCK,23405,-19.1276419,6.382033928,-825.264326,0,0,1210.548904
NRDE2,16681,-19.31171597,6.439321275,-824.9675919,0,0,1210.461146
SLC9B1P1,5333,-19.46898923,6.498263306,-824.5440949,0,0,1210.335815
