probe.id,logFC (Control/Disease),AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
2354_at,-2.601397707,8.174437585,-5.783976965,7.60777E-08,1.91918E-07,7.563052881,FOSB
2353_at,-2.473004225,9.174095015,-5.642218369,1.43607E-07,3.44575E-07,6.94696152,FOS
132203_at,2.205668117,5.329347506,7.905086296,2.83404E-12,2.48619E-11,17.51696569,SNTN
7153_at,2.154294562,7.681050347,5.39859793,4.20276E-07,9.2321E-07,5.907384938,TOP2A
2052_at,-2.147274442,10.09959892,-10.47182787,5.38782E-18,7.82724E-16,30.44602612,EPHX1
10403_at,2.095542988,6.328258786,6.911418328,3.85576E-10,1.67015E-09,12.70980306,NDC80
83540_at,2.093553022,6.142955703,8.214800534,5.92992E-13,6.91734E-12,19.05022489,NUF2
155465_at,2.091288727,8.257096555,6.464937684,3.26848E-09,1.10499E-08,10.62431279,AGR3
347_at,-2.072731847,9.897479455,-5.403320254,4.11711E-07,9.05464E-07,5.927295623,APOD
5125_at,2.058270696,7.77906858,6.709832198,1.01855E-09,3.92549E-09,11.76142181,PCSK5
1522_at,2.044219523,8.27991206,14.63939497,4.20228E-27,4.30398E-23,51.00498426,CTSZ
9383_at,2.029006697,7.262541616,9.597611994,4.93757E-16,2.40732E-14,26.00914391,TSIX
3726_at,-2.020753033,9.236174799,-7.853990036,3.6639E-12,3.05111E-11,17.26533431,JUNB
79801_at,1.983994258,5.281891638,8.508494168,1.33137E-13,2.07233E-12,20.51523966,SHCBP1
51473_at,1.960236348,7.492730377,8.576054275,9.43044E-14,1.57051E-12,20.85354529,DCDC2
9126_at,1.95796674,6.544499071,12.08836413,1.34218E-21,2.2542E-18,38.591682,SMC3
3832_at,1.955368664,5.760913362,5.973026087,3.22404E-08,8.75066E-08,8.396683136,KIF11
9787_at,1.944458927,6.352339513,5.445036856,3.43105E-07,7.65345E-07,6.103606266,DLGAP5
10926_at,1.936003745,7.241284407,7.872330469,3.34139E-12,2.83416E-11,17.3556084,DBF4
54443_at,1.924063307,5.784924676,6.299902021,7.10332E-09,2.2245E-08,9.868101891,ANLN
92747_at,-1.914818313,6.125710109,-3.793785238,0.00024841,0.000367316,-0.198078735,BPIFB1
126393_at,-1.889988302,7.507020698,-7.091892712,1.60278E-10,7.74689E-10,13.56752702,HSPB6
29070_at,1.888602788,6.439987628,9.103517656,6.30764E-15,1.82494E-13,23.50795519,CCDC113
1675_at,-1.887519974,8.798915834,-3.501938367,0.000679821,0.000960574,-1.141853648,CFD
55329_at,1.871860523,6.034514501,8.554920927,1.05051E-13,1.71327E-12,20.74767272,MNS1
11197_at,1.86518224,5.642154766,4.782968829,5.66532E-06,1.03921E-05,3.400568312,WIF1
23770_at,-1.860197583,7.326147759,-10.67142788,1.92238E-18,3.54757E-16,31.4581045,FKBP8
85457_at,1.854880718,7.646656592,9.446166514,1.07903E-15,4.45624E-14,25.24148751,CIPC
51203_at,1.847131987,7.359558793,6.068685121,2.07827E-08,5.85979E-08,8.823482444,NUSAP1
79184_at,1.838178909,7.10397035,11.32724923,6.56692E-20,2.98926E-17,34.77363603,BRCC3
