probe.id,logFC (Control/Disease),AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
2353_at,-3.203549033,9.174095015,-8.655082326,6.29675E-14,5.68206E-13,21.19860207,FOS
2354_at,-3.127467994,8.174437585,-8.234314888,5.37118E-13,3.65526E-12,19.08851441,FOSB
AFFX-HUMRGE/M10098_5_at,2.765741754,11.10437754,10.13505114,3.07088E-17,8.37601E-16,28.71490863,NA
AFFX-HUMRGE/M10098_M_at,2.630438825,10.69232626,12.16201628,9.23054E-22,1.92937E-19,38.98449487,NA
1522_at,2.489308071,8.27991206,21.11003918,1.46761E-39,3.00624E-35,79.15501548,CTSZ
10562_at,2.33870504,5.758594696,5.968174552,3.29637E-08,8.34337E-08,8.2822243,OLFM4
5125_at,2.288175467,7.77906858,8.833102879,2.53023E-14,2.57985E-13,22.09655047,PCSK5
83690_at,2.166918941,7.144815518,6.189506364,1.18846E-08,3.23771E-08,9.277069925,CRISPLD1
3726_at,-2.158080625,9.236174799,-9.932522734,8.74884E-17,2.03881E-15,27.68242229,JUNB
11197_at,2.103545446,5.642154766,6.387677383,4.70538E-09,1.37241E-08,10.18185537,WIF1
132203_at,2.065576754,5.329347506,8.766426233,3.56113E-14,3.48691E-13,21.75991664,SNTN
7538_at,-2.056947301,10.65651279,-8.687981855,5.32136E-14,4.92557E-13,21.36434434,ZFP36
56547_at,2.032583678,9.409793942,3.644429859,0.000418623,0.000636794,-0.805061025,MMP26
10926_at,2.019211049,7.241284407,9.722851061,2.58558E-16,5.13705E-15,26.61391707,DBF4
347_at,-2.003815381,9.897479455,-6.185717612,1.20955E-08,3.29125E-08,9.259897529,APOD
401190_at,1.957096092,4.620756593,10.3590283,9.64955E-18,3.15249E-16,29.85664994,RGS7BP
2878_at,-1.938530512,10.18478434,-3.203400873,0.001798819,0.00256042,-2.165008141,GPX3
79801_at,1.905116158,5.281891638,9.674946022,3.31163E-16,6.32925E-15,26.36989747,SHCBP1
2052_at,-1.904142337,10.09959892,-10.99636494,3.60003E-19,2.14385E-17,33.10036255,EPHX1
7153_at,1.901428793,7.681050347,5.642489507,1.43433E-07,3.30605E-07,6.851207816,TOP2A
126393_at,-1.88024127,7.507020698,-8.354710717,2.91402E-13,2.14099E-12,19.69029218,HSPB6
83540_at,1.877073096,6.142955703,8.721858545,4.47423E-14,4.26035E-13,21.53510977,NUF2
9592_at,-1.843740085,11.40408358,-11.15004229,1.63243E-19,1.14516E-17,33.88046248,IER2
5534_at,1.83987584,6.664882455,17.3219779,1.52212E-32,7.79479E-29,63.39770666,PPP3R1
10403_at,1.799071661,6.328258786,7.026416088,2.20575E-10,8.17637E-10,13.17715414,NDC80
155465_at,1.79894112,8.257096555,6.585398964,1.84566E-09,5.78433E-09,11.09683198,AGR3
4001_at,1.787030459,7.621224387,7.929902243,2.50137E-12,1.42963E-11,17.57536442,LMNB1
29070_at,1.781358999,6.439987628,10.16798413,2.59017E-17,7.20883E-16,28.88280565,CCDC113
84078_at,1.777431582,5.919412626,10.76004168,1.21698E-18,5.62721E-17,31.89893328,KBTBD7
4675_at,1.77452888,7.570455447,7.517860703,1.96464E-11,9.19015E-11,15.55002885,NAP1L3
201283_at,1.772271643,5.208936973,9.475787515,9.26087E-16,1.51517E-14,25.35606881,AMZ2P1
3832_at,1.766518189,5.760913362,6.389967797,4.65494E-09,1.35945E-08,10.19238627,KIF11
8395_at,1.763010422,8.072007144,6.515738414,2.56975E-09,7.84598E-09,10.77313325,PIP5K1B
8564_at,1.750642263,7.43544873,4.807672021,5.12095E-06,9.62099E-06,3.391343421,KMO
5047_at,-1.748823065,10.00902309,-2.38902887,0.018678879,0.02384508,-4.285318065,PAEP
53340_at,1.733213975,7.254751167,10.28774694,1.39472E-17,4.2634E-16,29.49333022,SPA17
85457_at,1.723517948,7.646656592,10.39370093,8.06679E-18,2.73576E-16,30.03335357,CIPC
