probe.id,logFC (Control/Disease),AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
2353_at,-2.956604309,9.174095015,-8.535536558,1.09492E-13,5.77424E-13,20.61022585,FOS
2354_at,-2.949641418,8.174437585,-8.36035766,2.68193E-13,1.28748E-12,19.72687699,FOSB
3726_at,-2.111660031,9.236174799,-10.52318737,3.73726E-18,7.06985E-17,30.76762048,JUNB
347_at,-2.027111088,9.897479455,-6.784687272,6.9047E-10,1.80288E-09,12.00231981,APOD
2052_at,-1.986327838,10.09959892,-12.34629497,3.12758E-22,2.87289E-20,40.04823434,EPHX1
7538_at,-1.97355708,10.65651279,-9.002007384,9.94488E-15,6.69661E-14,22.97696307,ZFP36
126393_at,-1.883536041,7.507020698,-9.075795853,6.7949E-15,4.75689E-14,23.35292644,HSPB6
2878_at,-1.855307484,10.18478434,-3.322566419,0.001225178,0.001638583,-1.882365243,GPX3
9592_at,-1.788744548,11.40408358,-11.68732175,9.11344E-21,4.38215E-19,36.71499941,IER2
23770_at,-1.755540476,7.326147759,-12.87576695,2.13412E-23,3.46946E-21,42.7015196,FKBP8
1521_at,-1.684614745,8.625238707,-6.15075543,1.39225E-08,3.0459E-08,9.061861065,CTSW
5589_at,-1.660774851,10.18797313,-14.25794552,2.18932E-26,1.24572E-23,49.49878019,PRKCSH
1675_at,-1.652816062,8.798915834,-3.928640743,0.000152525,0.000220941,0.07608875,CFD
8815_at,-1.632186381,11.16882584,-13.58172391,6.19404E-25,1.95198E-22,46.19836155,BANF1
6813_at,-1.596139228,8.306085568,-12.2509631,5.08413E-22,4.29272E-20,39.56800631,STXBP2
5047_at,-1.534638205,10.00902309,-2.266893665,0.025428774,0.030535995,-4.631767825,PAEP
972_at,-1.529567506,9.630464277,-10.65072227,1.92866E-18,4.01898E-17,31.42149762,CD74
6649_at,-1.529385839,7.4516784,-8.987500575,1.07177E-14,7.16054E-14,22.90309263,SOD3
66002_at,-1.523953866,7.063701027,-13.83877383,1.72841E-25,6.32229E-23,47.4588703,CYP4F12
1469_at,-1.511487572,6.877529466,-4.236060987,4.86728E-05,7.36075E-05,1.162818501,CST1
